"Nest_ID","Visit_date","Prev_date","interval","Fate_cat","Initiation_date","Stage","Year_located","Project_ID","UTM_E","UTM_N","UTM_datum_zone","Nest_Ht","Orientation"
"EMFWOR_NCAMC1-01A_2015","2015-06-22","2015-06-18",1,"success","2015-06-06","I",2015,"EM_FWOR",736223.852,4674241.706,"NAD83 10N",2.3,20
"EMFWOR_NCAMC1-01A_2015","2015-06-23","2015-06-22",2,"success","2015-06-06","N",2015,"EM_FWOR",736223.852,4674241.706,"NAD83 10N",2.3,20
"EMFWOR_NCAMC1-01A_2015","2015-07-01","2015-06-23",3,"success","2015-06-06","N",2015,"EM_FWOR",736223.852,4674241.706,"NAD83 10N",2.3,20
"EMFWOR_NCAMC1-01A_2015","2015-07-13","2015-07-01",4,"success","2015-06-06","N",2015,"EM_FWOR",736223.852,4674241.706,"NAD83 10N",2.3,20
"EMFWOR_NCAMC1-01A_2015","2015-07-22","2015-07-13",5,"success","2015-06-06","F",2015,"EM_FWOR",736223.852,4674241.706,"NAD83 10N",2.3,20
"EMFWOR_NCAMC1-01A_2017","2017-06-27","2017-06-24",1,"success","2017-05-23","N",2017,"EM_FWOR",736049.868,4674165.093,"NAD83 10N",4.5,140
"EMFWOR_NCAMC1-01A_2017","2017-06-29","2017-06-27",2,"success","2017-05-23","N",2017,"EM_FWOR",736049.868,4674165.093,"NAD83 10N",4.5,140
"EMFWOR_NCAMC1-01A_2017","2017-07-07","2017-06-29",3,"success","2017-05-23","F",2017,"EM_FWOR",736049.868,4674165.093,"NAD83 10N",4.5,140
"EMFWOR_NCAMC1-02A_2018","2018-07-02","2018-06-28",1,"success","2018-05-28","N",2018,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",5.2,300
"EMFWOR_NCAMC1-02A_2018","2018-07-05","2018-07-02",2,"success","2018-05-28","N",2018,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",5.2,300
"EMFWOR_NCAMC1-02A_2018","2018-07-09","2018-07-05",3,"success","2018-05-28","N",2018,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",5.2,300
"EMFWOR_NCAMC1-02A_2018","2018-07-10","2018-07-09",4,"success","2018-05-28","N",2018,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",5.2,300
"EMFWOR_NCAMC1-02A_2018","2018-07-11","2018-07-10",5,"success","2018-05-28","F",2018,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",5.2,300
"EMFWOR_NCAMC1-02A_2019","2019-06-17","2019-06-13",1,"failure","2019-06-12","L",2019,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",4.6,218
"EMFWOR_NCAMC1-02A_2019","2019-06-20","2019-06-17",2,"failure","2019-06-12","I",2019,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",4.6,218
"EMFWOR_NCAMC1-02A_2019","2019-06-24","2019-06-20",3,"failure","2019-06-12","I",2019,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",4.6,218
"EMFWOR_NCAMC1-02A_2019","2019-06-27","2019-06-24",4,"failure","2019-06-12","N",2019,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",4.6,218
"EMFWOR_NCAMC1-02A_2019","2019-07-01","2019-06-27",5,"failure","2019-06-12","N",2019,"EM_FWOR",735854.022,4674500.782,"NAD83 10N",4.6,218
"EMFWOR_NCAMC1-09A_2015","2015-07-01","2015-06-25",1,"success","2015-06-06","N",2015,"EM_FWOR",734146.046,4674816.711,"NAD83 10N",2.9,108
"EMFWOR_NCAMC1-09A_2015","2015-07-08","2015-07-01",2,"success","2015-06-06","N",2015,"EM_FWOR",734146.046,4674816.711,"NAD83 10N",2.9,108
"EMFWOR_NCAMC1-09A_2015","2015-07-09","2015-07-08",3,"success","2015-06-06","N",2015,"EM_FWOR",734146.046,4674816.711,"NAD83 10N",2.9,108
"EMFWOR_NCAMC1-09A_2015","2015-07-14","2015-07-09",4,"success","2015-06-06","N",2015,"EM_FWOR",734146.046,4674816.711,"NAD83 10N",2.9,108
"EMFWOR_NCAMC1-09A_2015","2015-07-22","2015-07-14",5,"success","2015-06-06","F",2015,"EM_FWOR",734146.046,4674816.711,"NAD83 10N",2.9,108
"EMFWOR_NCAMC1-09A_2018","2018-06-07","2018-06-05",1,"success","2018-05-17","N",2018,"EM_FWOR",734142.735,4674992.744,"NAD83 10N",2.5,141
"EMFWOR_NCAMC1-09A_2018","2018-06-11","2018-06-07",2,"success","2018-05-17","N",2018,"EM_FWOR",734142.735,4674992.744,"NAD83 10N",2.5,141
"EMFWOR_NCAMC1-09A_2018","2018-06-18","2018-06-11",3,"success","2018-05-17","N",2018,"EM_FWOR",734142.735,4674992.744,"NAD83 10N",2.5,141
"EMFWOR_NCAMC1-09A_2018","2018-06-25","2018-06-18",4,"success","2018-05-17","N",2018,"EM_FWOR",734142.735,4674992.744,"NAD83 10N",2.5,141
"EMFWOR_NCAMC1-09A_2018","2018-07-02","2018-06-25",5,"success","2018-05-17","F",2018,"EM_FWOR",734142.735,4674992.744,"NAD83 10N",2.5,141
"EMFWOR_NCAMC1-10A_2017","2017-06-13","2017-06-08",1,"success","2017-05-14","N",2017,"EM_FWOR",734048.834,4675048.08,"NAD83 10N",1.5,109
"EMFWOR_NCAMC1-10A_2017","2017-06-24","2017-06-13",2,"success","2017-05-14","N",2017,"EM_FWOR",734048.834,4675048.08,"NAD83 10N",1.5,109
"EMFWOR_NCAMC1-10A_2017","2017-06-27","2017-06-24",3,"success","2017-05-14","F",2017,"EM_FWOR",734048.834,4675048.08,"NAD83 10N",1.5,109
"EMFWOR_NCAMC1-10A_2020","2020-07-08","2020-07-06",1,"success","2020-06-23","I",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC1-10A_2020","2020-07-13","2020-07-08",2,"success","2020-06-23","N",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC1-10A_2020","2020-07-15","2020-07-13",3,"success","2020-06-23","N",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC1-10A_2020","2020-07-21","2020-07-15",4,"success","2020-06-23","N",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC1-10A_2020","2020-07-24","2020-07-21",5,"success","2020-06-23","N",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC1-10A_2020","2020-07-28","2020-07-24",6,"success","2020-06-23","N",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC1-10A_2020","2020-07-30","2020-07-28",7,"success","2020-06-23","N",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC1-10A_2020","2020-08-03","2020-07-30",8,"success","2020-06-23","N",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC1-10A_2020","2020-08-06","2020-08-03",9,"success","2020-06-23","F",2020,"EM_FWOR",734082,4674837,"NAD83 10N",3.6,39
"EMFWOR_NCAMC2-10A_2018","2018-06-07","2018-06-05",1,"success","2018-05-23","I",2018,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2018","2018-06-11","2018-06-07",2,"success","2018-05-23","N",2018,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2018","2018-06-18","2018-06-11",3,"success","2018-05-23","N",2018,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2018","2018-06-25","2018-06-18",4,"success","2018-05-23","N",2018,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2018","2018-07-02","2018-06-25",5,"success","2018-05-23","N",2018,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2018","2018-07-05","2018-07-02",6,"success","2018-05-23","F",2018,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2019","2019-06-13","2019-06-10",1,"failure","2019-06-03","I",2019,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2019","2019-06-17","2019-06-13",2,"failure","2019-06-03","I",2019,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2019","2019-06-20","2019-06-17",3,"failure","2019-06-03","N",2019,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2019","2019-06-24","2019-06-20",4,"failure","2019-06-03","N",2019,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
"EMFWOR_NCAMC2-10A_2019","2019-06-27","2019-06-24",5,"failure","2019-06-03","N",2019,"EM_FWOR",734033.352,4673375.115,"NAD83 10N",3.9,82
