"","Nest_ID","Visit_date","No_eggs","No_young","Stage","Year_located","Project_ID","Transect_ID","Transect_ID2","Trt_cat","Fate","UTM_datum_zone","UTM_N","UTM_E","Nest_Ht","Tree_sp","Orientation","cosOrientation","Initiation_date","Init_day","NoFL_uncert","NoFL_cert","Trees_2550","Trees_50","pPIPO","Fate_cat","Peeped","Duration","Julian_end","Julian_start","a1000_areamn2","a1000_areaam2","a1000_areacv2","a1000_contag","a1000_pland2","a1000_pland1","a1000_lpi","a1000_lpi1","a1000_lpi2","a1000_np","a1000_np1","a1000_np2","a1000_proxmn2","a1000_Ha","a1000_RxBu","a1000_WFBu","a1000_PBu"
"1","EMFWOR_NCAMC1-01A_2015","2015-06-02",999,999,"E",2015,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674241.706,736223.852,2.3,"PIPO",20,0.939692620785908,2015-06-06,157,2,NA,33.3333333333333,17.5,0.272727272727273,"success",0,30,"153",NA,4.46,61.0449982,356.1910095,22.1828995,26.1660004,47.6679001,36.5209999,36.5209999,22.7632999,49,31,18,91.7546997,0,0,0,0
"2","EMFWOR_NCAMC1-01A_2015","2015-06-18",3,0,"I",2015,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674241.706,736223.852,2.3,"PIPO",20,0.939692620785908,2015-06-06,157,2,NA,33.3333333333333,17.5,0.272727272727273,"success",1,9,"169","153",4.46,61.0449982,356.1910095,22.1828995,26.1660004,47.6679001,36.5209999,36.5209999,22.7632999,49,31,18,91.7546997,0,0,0,0
"3","EMFWOR_NCAMC1-01A_2015","2015-06-22",999,999,"I",2015,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674241.706,736223.852,2.3,"PIPO",20,0.939692620785908,2015-06-06,157,2,NA,33.3333333333333,17.5,0.272727272727273,"success",0,15,"173","169",4.46,61.0449982,356.1910095,22.1828995,26.1660004,47.6679001,36.5209999,36.5209999,22.7632999,49,31,18,91.7546997,0,0,0,0
"4","EMFWOR_NCAMC1-01A_2015","2015-06-23",0,2,"N",2015,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674241.706,736223.852,2.3,"PIPO",20,0.939692620785908,2015-06-06,157,2,NA,33.3333333333333,17.5,0.272727272727273,"success",1,47,"174","173",4.46,61.0449982,356.1910095,22.1828995,26.1660004,47.6679001,36.5209999,36.5209999,22.7632999,49,31,18,91.7546997,0,0,0,0
"5","EMFWOR_NCAMC1-01A_2015","2015-07-01",0,2,"N",2015,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674241.706,736223.852,2.3,"PIPO",20,0.939692620785908,2015-06-06,157,2,NA,33.3333333333333,17.5,0.272727272727273,"success",1,26,"182","174",4.46,61.0449982,356.1910095,22.1828995,26.1660004,47.6679001,36.5209999,36.5209999,22.7632999,49,31,18,91.7546997,0,0,0,0
"6","EMFWOR_NCAMC1-01A_2015","2015-07-13",0,2,"N",2015,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674241.706,736223.852,2.3,"PIPO",20,0.939692620785908,2015-06-06,157,2,NA,33.3333333333333,17.5,0.272727272727273,"success",1,214,"194","182",4.46,61.0449982,356.1910095,22.1828995,26.1660004,47.6679001,36.5209999,36.5209999,22.7632999,49,31,18,91.7546997,0,0,0,0
"7","EMFWOR_NCAMC1-01A_2015","2015-07-22",0,0,"F",2015,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674241.706,736223.852,2.3,"PIPO",20,0.939692620785908,2015-06-06,157,2,NA,33.3333333333333,17.5,0.272727272727273,"success",1,11,"203","194",4.46,61.0449982,356.1910095,22.1828995,26.1660004,47.6679001,36.5209999,36.5209999,22.7632999,49,31,18,91.7546997,0,0,0,0
"8","EMFWOR_NCAMC1-01A_2017","2017-06-23",999,999,"N",2017,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674165.093,736049.868,4.5,"PIPO",140,-0.766044443118978,2017-05-23,143,2,NA,50,15,0.769230769230769,"success",0,38,"174",NA,5.1670599,57.4421005,318.071991,21.2150993,28.6301003,49.4866982,41.5663986,41.5663986,22.9685993,38,21,17,90.2464981,0,0,0,0
"9","EMFWOR_NCAMC1-01A_2017","2017-06-24",0,2,"N",2017,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674165.093,736049.868,4.5,"PIPO",140,-0.766044443118978,2017-05-23,143,2,NA,50,15,0.769230769230769,"success",1,19,"175","174",5.1670599,57.4421005,318.071991,21.2150993,28.6301003,49.4866982,41.5663986,41.5663986,22.9685993,38,21,17,90.2464981,0,0,0,0
"10","EMFWOR_NCAMC1-01A_2017","2017-06-27",0,2,"N",2017,"EMFWOR","EMFWOR_CAMC1","EMFWOR_CAMC1","U",1,"NAD83 10N",4674165.093,736049.868,4.5,"PIPO",140,-0.766044443118978,2017-05-23,143,2,NA,50,15,0.769230769230769,"success",1,20,"178","175",5.1670599,57.4421005,318.071991,21.2150993,28.6301003,49.4866982,41.5663986,41.5663986,22.9685993,38,21,17,90.2464981,0,0,0,0
