Nest_ID,Year_located,Julian_start,Julian_end,UTM_datum_zone,maxTmax_C,meanTmax_C,maxPpt_mm,meanPpt_mm
EMFWOR_NCAMC1-01A_2015,2015,153,153,NAD83 10N,16.216999053955078,16.216999053955078,0.8920000195503235,0.8920000195503235
EMFWOR_NCAMC1-01A_2015,2015,153,169,NAD83 10N,29.165000915527344,23.104705810546875,3.8340001106262207,0.5839411756571602
EMFWOR_NCAMC1-01A_2015,2015,169,173,NAD83 10N,26.47100067138672,24.707600021362303,0,0
EMFWOR_NCAMC1-01A_2015,2015,173,174,NAD83 10N,24.3439998626709,23.666500091552734,0,0
EMFWOR_NCAMC1-01A_2015,2015,174,182,NAD83 10N,33.13999938964844,29.37033314175076,0,0
EMFWOR_NCAMC1-01A_2015,2015,182,194,NAD83 10N,33.606998443603516,25.85046122624324,8.187999725341797,2.970692265492219
EMFWOR_NCAMC1-01A_2015,2015,194,203,NAD83 10N,27.548999786376953,24.356399726867675,10.800999641418457,1.2317999601364136
EMFWOR_NCAMC1-01A_2017,2017,174,174,NAD83 10N,23.89699935913086,23.89699935913086,0,0
EMFWOR_NCAMC1-01A_2017,2017,174,175,NAD83 10N,27.208999633789063,25.55299949645996,0,0
EMFWOR_NCAMC1-01A_2017,2017,175,178,NAD83 10N,31.33799934387207,28.791499614715576,0,0
EMFWOR_NCAMC1-01A_2017,2017,178,180,NAD83 10N,26.722999572753906,24.925999959309895,0,0
EMFWOR_NCAMC1-01A_2017,2017,180,188,NAD83 10N,29.634000778198242,27.310555987887913,0,0
EMFWOR_NCAMC1-02A_2018,2018,178,178,NAD83 10N,25.513999938964844,25.513999938964844,0,0
EMFWOR_NCAMC1-02A_2018,2018,178,179,NAD83 10N,26.187999725341797,25.85099983215332,0,0
EMFWOR_NCAMC1-02A_2018,2018,179,183,NAD83 10N,26.187999725341797,23.354999923706053,0,0
EMFWOR_NCAMC1-02A_2018,2018,183,186,NAD83 10N,25.923999786376953,23.706499576568604,0,0
EMFWOR_NCAMC1-02A_2018,2018,186,190,NAD83 10N,27.523000717163086,25.249799728393555,0,0
EMFWOR_NCAMC1-02A_2018,2018,190,191,NAD83 10N,27.523000717163086,27.411499977111816,0,0
EMFWOR_NCAMC1-02A_2018,2018,191,192,NAD83 10N,27.299999237060547,26.542499542236328,0,0
