"","Nest_ID","Year_located","Julian_start","Julian_end","UTM_datum_zone","UTM_N","UTM_E"
"1","EMFWOR_NCAMC1-01A_2015",2015,NA,"153","NAD83 10N",4674241.706,736223.852
"2","EMFWOR_NCAMC1-01A_2015",2015,"153","169","NAD83 10N",4674241.706,736223.852
"3","EMFWOR_NCAMC1-01A_2015",2015,"169","173","NAD83 10N",4674241.706,736223.852
"4","EMFWOR_NCAMC1-01A_2015",2015,"173","174","NAD83 10N",4674241.706,736223.852
"5","EMFWOR_NCAMC1-01A_2015",2015,"174","182","NAD83 10N",4674241.706,736223.852
"6","EMFWOR_NCAMC1-01A_2015",2015,"182","194","NAD83 10N",4674241.706,736223.852
"7","EMFWOR_NCAMC1-01A_2015",2015,"194","203","NAD83 10N",4674241.706,736223.852
"8","EMFWOR_NCAMC1-01A_2017",2017,NA,"174","NAD83 10N",4674165.093,736049.868
"9","EMFWOR_NCAMC1-01A_2017",2017,"174","175","NAD83 10N",4674165.093,736049.868
"10","EMFWOR_NCAMC1-01A_2017",2017,"175","178","NAD83 10N",4674165.093,736049.868
"11","EMFWOR_NCAMC1-01A_2017",2017,"178","180","NAD83 10N",4674165.093,736049.868
"12","EMFWOR_NCAMC1-01A_2017",2017,"180","188","NAD83 10N",4674165.093,736049.868
"13","EMFWOR_NCAMC1-02A_2018",2018,NA,"178","NAD83 10N",4674500.782,735854.022
"14","EMFWOR_NCAMC1-02A_2018",2018,"178","179","NAD83 10N",4674500.782,735854.022
"15","EMFWOR_NCAMC1-02A_2018",2018,"179","183","NAD83 10N",4674500.782,735854.022
"16","EMFWOR_NCAMC1-02A_2018",2018,"183","186","NAD83 10N",4674500.782,735854.022
"17","EMFWOR_NCAMC1-02A_2018",2018,"186","190","NAD83 10N",4674500.782,735854.022
"18","EMFWOR_NCAMC1-02A_2018",2018,"190","191","NAD83 10N",4674500.782,735854.022
"19","EMFWOR_NCAMC1-02A_2018",2018,"191","192","NAD83 10N",4674500.782,735854.022
"20","EMFWOR_NCAMC1-02A_2019",2019,NA,"164","NAD83 10N",4674500.782,735854.022
"21","EMFWOR_NCAMC1-02A_2019",2019,"164","168","NAD83 10N",4674500.782,735854.022
"22","EMFWOR_NCAMC1-02A_2019",2019,"168","171","NAD83 10N",4674500.782,735854.022
"23","EMFWOR_NCAMC1-02A_2019",2019,"171","175","NAD83 10N",4674500.782,735854.022
"24","EMFWOR_NCAMC1-02A_2019",2019,"175","178","NAD83 10N",4674500.782,735854.022
"25","EMFWOR_NCAMC1-02A_2019",2019,"178","182","NAD83 10N",4674500.782,735854.022
"26","EMFWOR_NCAMC2-10A_2018",2018,NA,"156","NAD83 10N",4673375.115,734033.352
"27","EMFWOR_NCAMC2-10A_2018",2018,"156","158","NAD83 10N",4673375.115,734033.352
"28","EMFWOR_NCAMC2-10A_2018",2018,"158","162","NAD83 10N",4673375.115,734033.352
"29","EMFWOR_NCAMC2-10A_2018",2018,"162","169","NAD83 10N",4673375.115,734033.352
"30","EMFWOR_NCAMC2-10A_2018",2018,"169","176","NAD83 10N",4673375.115,734033.352
"31","EMFWOR_NCAMC2-10A_2018",2018,"176","183","NAD83 10N",4673375.115,734033.352
"32","EMFWOR_NCAMC2-10A_2018",2018,"183","186","NAD83 10N",4673375.115,734033.352
"33","EMFWOR_NCAMC2-10A_2019",2019,NA,"161","NAD83 10N",4673375.115,734033.352
"34","EMFWOR_NCAMC2-10A_2019",2019,"161","164","NAD83 10N",4673375.115,734033.352
"35","EMFWOR_NCAMC2-10A_2019",2019,"164","168","NAD83 10N",4673375.115,734033.352
"36","EMFWOR_NCAMC2-10A_2019",2019,"168","171","NAD83 10N",4673375.115,734033.352
"37","EMFWOR_NCAMC2-10A_2019",2019,"171","175","NAD83 10N",4673375.115,734033.352
"38","EMFWOR_NCAMC2-10A_2019",2019,"175","178","NAD83 10N",4673375.115,734033.352
"39","EMFWOR_NCAMC2-10A_2019",2019,"178","182","NAD83 10N",4673375.115,734033.352
"40","EMFWOR_NCAMC2-10A_2019",2019,"182","186","NAD83 10N",4673375.115,734033.352
"41","EMFWOR_NCAMC3-08A_2018",2018,NA,"151","NAD83 10N",4672348.876,736788.526
"42","EMFWOR_NCAMC3-08A_2018",2018,"151","155","NAD83 10N",4672348.876,736788.526
"43","EMFWOR_NCAMC3-08A_2018",2018,"155","158","NAD83 10N",4672348.876,736788.526
"44","EMFWOR_NCAMC3-08A_2018",2018,"158","162","NAD83 10N",4672348.876,736788.526
"45","EMFWOR_NCAMC3-08A_2018",2018,"162","169","NAD83 10N",4672348.876,736788.526
"46","EMFWOR_NCAMC3-08A_2018",2018,"169","176","NAD83 10N",4672348.876,736788.526
"47","EMFWOR_NCAMC3-08A_2018",2018,"176","183","NAD83 10N",4672348.876,736788.526
"48","EMFWOR_NCAMC3-08A_2018",2018,"183","186","NAD83 10N",4672348.876,736788.526
"49","EMFWOR_NCAMC3-08A_2020",2020,NA,"153","NAD83 10N",4672331,736840
"50","EMFWOR_NCAMC3-08A_2020",2020,"153","157","NAD83 10N",4672331,736840
"51","EMFWOR_NCAMC3-08A_2020",2020,"157","162","NAD83 10N",4672331,736840
"52","EMFWOR_NCAMC3-08A_2020",2020,"162","170","NAD83 10N",4672331,736840
"53","EMFWOR_NCAMC3-08A_2020",2020,"170","175","NAD83 10N",4672331,736840
"54","EMFWOR_NCAMC3-08A_2020",2020,"175","181","NAD83 10N",4672331,736840
