"X","Nest_ID","Date","Year_located","tmax","ppt","interval"
1,"EMFWOR_NCAMC1-01A_2015",2015-06-18,2015,26.1919994354248,0,1
2,"EMFWOR_NCAMC1-01A_2015",2015-06-19,2015,26.4710006713867,0,1
3,"EMFWOR_NCAMC1-01A_2015",2015-06-20,2015,23.5289993286133,0,1
4,"EMFWOR_NCAMC1-01A_2015",2015-06-21,2015,24.3570003509521,0,1
5,"EMFWOR_NCAMC1-01A_2015",2015-06-22,2015,22.9890003204346,0,1
6,"EMFWOR_NCAMC1-01A_2015",2015-06-23,2015,24.3439998626709,0,2
7,"EMFWOR_NCAMC1-01A_2015",2015-06-24,2015,26.3010005950928,0,3
8,"EMFWOR_NCAMC1-01A_2015",2015-06-25,2015,28.7469997406006,0,3
9,"EMFWOR_NCAMC1-01A_2015",2015-06-26,2015,31.0820007324219,0,3
10,"EMFWOR_NCAMC1-01A_2015",2015-06-27,2015,33.1399993896484,0,3
11,"EMFWOR_NCAMC1-01A_2015",2015-06-28,2015,31.6889991760254,0,3
12,"EMFWOR_NCAMC1-01A_2015",2015-06-29,2015,27.1749992370605,0,3
13,"EMFWOR_NCAMC1-01A_2015",2015-06-30,2015,30.3649997711182,0,3
14,"EMFWOR_NCAMC1-01A_2015",2015-07-01,2015,31.4899997711182,0,3
15,"EMFWOR_NCAMC1-01A_2015",2015-07-02,2015,32.5929985046387,0,4
16,"EMFWOR_NCAMC1-01A_2015",2015-07-03,2015,33.6069984436035,0.564000010490417,4
17,"EMFWOR_NCAMC1-01A_2015",2015-07-04,2015,31.6310005187988,0.474999994039536,4
18,"EMFWOR_NCAMC1-01A_2015",2015-07-05,2015,30.4249992370605,1.95700001716614,4
19,"EMFWOR_NCAMC1-01A_2015",2015-07-06,2015,21.7360000610352,7.73600006103516,4
20,"EMFWOR_NCAMC1-01A_2015",2015-07-07,2015,27.7709999084473,0,4
21,"EMFWOR_NCAMC1-01A_2015",2015-07-08,2015,26.5249996185303,8.1879997253418,4
22,"EMFWOR_NCAMC1-01A_2015",2015-07-09,2015,18.613000869751,5.67899990081787,4
23,"EMFWOR_NCAMC1-01A_2015",2015-07-10,2015,22.1240005493164,7.89799976348877,4
24,"EMFWOR_NCAMC1-01A_2015",2015-07-11,2015,20.2129993438721,4.60500001907349,4
25,"EMFWOR_NCAMC1-01A_2015",2015-07-12,2015,19.2999992370605,0,4
26,"EMFWOR_NCAMC1-01A_2015",2015-07-13,2015,20.0279998779297,1.51699995994568,4
27,"EMFWOR_NCAMC1-01A_2015",2015-07-14,2015,21.9909992218018,0,5
28,"EMFWOR_NCAMC1-01A_2015",2015-07-15,2015,22.5349998474121,0,5
29,"EMFWOR_NCAMC1-01A_2015",2015-07-16,2015,24.8850002288818,0,5
30,"EMFWOR_NCAMC1-01A_2015",2015-07-17,2015,24.681999206543,0,5
31,"EMFWOR_NCAMC1-01A_2015",2015-07-18,2015,23.2169990539551,0,5
32,"EMFWOR_NCAMC1-01A_2015",2015-07-19,2015,25.1580009460449,0,5
33,"EMFWOR_NCAMC1-01A_2015",2015-07-20,2015,27.0809993743896,0,5
34,"EMFWOR_NCAMC1-01A_2015",2015-07-21,2015,27.548999786377,0,5
35,"EMFWOR_NCAMC1-01A_2015",2015-07-22,2015,26.4379997253418,10.8009996414185,5
36,"EMFWOR_NCAMC1-01A_2017",2017-06-24,2017,27.2089996337891,0,1
37,"EMFWOR_NCAMC1-01A_2017",2017-06-25,2017,29.8959999084473,0,1
38,"EMFWOR_NCAMC1-01A_2017",2017-06-26,2017,31.3379993438721,0,1
39,"EMFWOR_NCAMC1-01A_2017",2017-06-27,2017,26.7229995727539,0,1
40,"EMFWOR_NCAMC1-01A_2017",2017-06-28,2017,24.5769996643066,0,2
41,"EMFWOR_NCAMC1-01A_2017",2017-06-29,2017,23.4780006408691,0,2
42,"EMFWOR_NCAMC1-01A_2017",2017-06-30,2017,24.3770008087158,0,3
43,"EMFWOR_NCAMC1-01A_2017",2017-07-01,2017,27.492000579834,0,3
44,"EMFWOR_NCAMC1-01A_2017",2017-07-02,2017,27.32200050354,0,3
45,"EMFWOR_NCAMC1-01A_2017",2017-07-03,2017,28.9810009002686,0,3
46,"EMFWOR_NCAMC1-01A_2017",2017-07-04,2017,28.5599994659424,0,3
47,"EMFWOR_NCAMC1-01A_2017",2017-07-05,2017,27.2670001983643,0,3
48,"EMFWOR_NCAMC1-01A_2017",2017-07-06,2017,28.6840000152588,0,3
49,"EMFWOR_NCAMC1-01A_2017",2017-07-07,2017,29.6340007781982,0,3
50,"EMFWOR_NCAMC1-02A_2018",2018-06-28,2018,26.1879997253418,0,1
51,"EMFWOR_NCAMC1-02A_2018",2018-06-29,2018,19.8799991607666,0,1
52,"EMFWOR_NCAMC1-02A_2018",2018-06-30,2018,20.4200000762939,0,1
53,"EMFWOR_NCAMC1-02A_2018",2018-07-01,2018,24.363000869751,0,1
54,"EMFWOR_NCAMC1-02A_2018",2018-07-02,2018,25.923999786377,0,1
55,"EMFWOR_NCAMC1-02A_2018",2018-07-03,2018,23.2099990844727,0,2
56,"EMFWOR_NCAMC1-02A_2018",2018-07-04,2018,20.2089996337891,0,2
57,"EMFWOR_NCAMC1-02A_2018",2018-07-05,2018,25.4829998016357,0,2
58,"EMFWOR_NCAMC1-02A_2018",2018-07-06,2018,25.1989994049072,0,3
59,"EMFWOR_NCAMC1-02A_2018",2018-07-07,2018,21.2759990692139,0,3
60,"EMFWOR_NCAMC1-02A_2018",2018-07-08,2018,26.7679996490479,0,3
61,"EMFWOR_NCAMC1-02A_2018",2018-07-09,2018,27.5230007171631,0,3
62,"EMFWOR_NCAMC1-02A_2018",2018-07-10,2018,27.2999992370605,0,4
63,"EMFWOR_NCAMC1-02A_2018",2018-07-11,2018,25.7849998474121,0,5
64,"EMFWOR_NCAMC1-02A_2019",2019-06-13,2019,27.9689998626709,0,1
65,"EMFWOR_NCAMC1-02A_2019",2019-06-14,2019,24.5499992370605,0,1
66,"EMFWOR_NCAMC1-02A_2019",2019-06-15,2019,24.242000579834,0,1
67,"EMFWOR_NCAMC1-02A_2019",2019-06-16,2019,24.7040004730225,0,1
68,"EMFWOR_NCAMC1-02A_2019",2019-06-17,2019,25.1720008850098,0,1
69,"EMFWOR_NCAMC1-02A_2019",2019-06-18,2019,24.5209999084473,0,2
70,"EMFWOR_NCAMC1-02A_2019",2019-06-19,2019,25.6110000610352,0,2
71,"EMFWOR_NCAMC1-02A_2019",2019-06-20,2019,22.4270000457764,0,2
72,"EMFWOR_NCAMC1-02A_2019",2019-06-21,2019,14.2729997634888,0,3
73,"EMFWOR_NCAMC1-02A_2019",2019-06-22,2019,14.3610000610352,0,3
74,"EMFWOR_NCAMC1-02A_2019",2019-06-23,2019,20.44700050354,0,3
75,"EMFWOR_NCAMC1-02A_2019",2019-06-24,2019,21.5879993438721,0,3
76,"EMFWOR_NCAMC1-02A_2019",2019-06-25,2019,20.7089996337891,0,4
77,"EMFWOR_NCAMC1-02A_2019",2019-06-26,2019,18.753999710083,0,4
78,"EMFWOR_NCAMC1-02A_2019",2019-06-27,2019,17.9290008544922,0,4
79,"EMFWOR_NCAMC1-02A_2019",2019-06-28,2019,15.6120004653931,0,5
80,"EMFWOR_NCAMC1-02A_2019",2019-06-29,2019,18.8250007629395,0,5
81,"EMFWOR_NCAMC1-02A_2019",2019-06-30,2019,21.5279998779297,0,5
82,"EMFWOR_NCAMC1-02A_2019",2019-07-01,2019,22.67799949646,0,5
83,"EMFWOR_NCAMC1-09A_2015",2015-06-25,2015,29.3419990539551,0,1
84,"EMFWOR_NCAMC1-09A_2015",2015-06-26,2015,31.632999420166,0,1
85,"EMFWOR_NCAMC1-09A_2015",2015-06-27,2015,33.5979995727539,0,1
86,"EMFWOR_NCAMC1-09A_2015",2015-06-28,2015,32.1279983520508,0,1
87,"EMFWOR_NCAMC1-09A_2015",2015-06-29,2015,27.6410007476807,0,1
88,"EMFWOR_NCAMC1-09A_2015",2015-06-30,2015,31.0179996490479,0,1
89,"EMFWOR_NCAMC1-09A_2015",2015-07-01,2015,32.3940010070801,0,1
90,"EMFWOR_NCAMC1-09A_2015",2015-07-02,2015,33.439998626709,0,2
91,"EMFWOR_NCAMC1-09A_2015",2015-07-03,2015,34.4780006408691,0.316000014543533,2
92,"EMFWOR_NCAMC1-09A_2015",2015-07-04,2015,32.625,0.175999999046326,2
93,"EMFWOR_NCAMC1-09A_2015",2015-07-05,2015,31.2840003967285,2.07399988174438,2
94,"EMFWOR_NCAMC1-09A_2015",2015-07-06,2015,22.7560005187988,6.70300006866455,2
95,"EMFWOR_NCAMC1-09A_2015",2015-07-07,2015,28.6749992370605,0,2
96,"EMFWOR_NCAMC1-09A_2015",2015-07-08,2015,27.5179996490479,8.49300003051758,2
97,"EMFWOR_NCAMC1-09A_2015",2015-07-09,2015,19.2210006713867,5.89799976348877,3
98,"EMFWOR_NCAMC1-09A_2015",2015-07-10,2015,22.9029998779297,7.60900020599365,4
99,"EMFWOR_NCAMC1-09A_2015",2015-07-11,2015,21.0949993133545,4.13299989700317,4
100,"EMFWOR_NCAMC1-09A_2015",2015-07-12,2015,20.2959995269775,0,4
101,"EMFWOR_NCAMC1-09A_2015",2015-07-13,2015,21.0030002593994,1.25,4
102,"EMFWOR_NCAMC1-09A_2015",2015-07-14,2015,22.9899997711182,0,4
103,"EMFWOR_NCAMC1-09A_2015",2015-07-15,2015,23.2649993896484,0,5
104,"EMFWOR_NCAMC1-09A_2015",2015-07-16,2015,25.9249992370605,0,5
105,"EMFWOR_NCAMC1-09A_2015",2015-07-17,2015,25.6690006256104,0,5
106,"EMFWOR_NCAMC1-09A_2015",2015-07-18,2015,24.2770004272461,0,5
107,"EMFWOR_NCAMC1-09A_2015",2015-07-19,2015,25.9599990844727,0,5
108,"EMFWOR_NCAMC1-09A_2015",2015-07-20,2015,27.9160003662109,0,5
109,"EMFWOR_NCAMC1-09A_2015",2015-07-21,2015,28.4689998626709,0,5
110,"EMFWOR_NCAMC1-09A_2015",2015-07-22,2015,27.1100006103516,8.3149995803833,5
111,"EMFWOR_NCAMC1-09A_2018",2018-06-05,2018,21.5049991607666,0,1
112,"EMFWOR_NCAMC1-09A_2018",2018-06-06,2018,20.3509998321533,0,1
113,"EMFWOR_NCAMC1-09A_2018",2018-06-07,2018,23.1700000762939,0,1
114,"EMFWOR_NCAMC1-09A_2018",2018-06-08,2018,21.6560001373291,0,2
115,"EMFWOR_NCAMC1-09A_2018",2018-06-09,2018,21.7140007019043,1.06400001049042,2
116,"EMFWOR_NCAMC1-09A_2018",2018-06-10,2018,9.72999954223633,5.54500007629395,2
117,"EMFWOR_NCAMC1-09A_2018",2018-06-11,2018,13.3739995956421,0,2
118,"EMFWOR_NCAMC1-09A_2018",2018-06-12,2018,18.2630004882812,0,3
119,"EMFWOR_NCAMC1-09A_2018",2018-06-13,2018,25.1410007476807,0,3
120,"EMFWOR_NCAMC1-09A_2018",2018-06-14,2018,24.6879997253418,0,3
121,"EMFWOR_NCAMC1-09A_2018",2018-06-15,2018,21.6070003509521,0,3
122,"EMFWOR_NCAMC1-09A_2018",2018-06-16,2018,20.3950004577637,0,3
123,"EMFWOR_NCAMC1-09A_2018",2018-06-17,2018,16.9249992370605,0.458999991416931,3
124,"EMFWOR_NCAMC1-09A_2018",2018-06-18,2018,11.0670003890991,5.8899998664856,3
125,"EMFWOR_NCAMC1-09A_2018",2018-06-19,2018,14.0780000686646,2.53900003433228,4
126,"EMFWOR_NCAMC1-09A_2018",2018-06-20,2018,21.4099998474121,0,4
127,"EMFWOR_NCAMC1-09A_2018",2018-06-21,2018,25.9230003356934,0,4
128,"EMFWOR_NCAMC1-09A_2018",2018-06-22,2018,24.1420001983643,0,4
129,"EMFWOR_NCAMC1-09A_2018",2018-06-23,2018,25.0300006866455,0,4
130,"EMFWOR_NCAMC1-09A_2018",2018-06-24,2018,22.7859992980957,0,4
131,"EMFWOR_NCAMC1-09A_2018",2018-06-25,2018,27.9230003356934,0,4
132,"EMFWOR_NCAMC1-09A_2018",2018-06-26,2018,26.1770000457764,0,5
133,"EMFWOR_NCAMC1-09A_2018",2018-06-27,2018,26.128999710083,0,5
134,"EMFWOR_NCAMC1-09A_2018",2018-06-28,2018,26.7320003509521,0,5
135,"EMFWOR_NCAMC1-09A_2018",2018-06-29,2018,20.3369998931885,0,5
136,"EMFWOR_NCAMC1-09A_2018",2018-06-30,2018,21.007999420166,0,5
137,"EMFWOR_NCAMC1-09A_2018",2018-07-01,2018,25.2830009460449,0,5
138,"EMFWOR_NCAMC1-09A_2018",2018-07-02,2018,26.9020004272461,0,5
139,"EMFWOR_NCAMC1-10A_2017",2017-06-08,2017,23.7439994812012,0,1
140,"EMFWOR_NCAMC1-10A_2017",2017-06-09,2017,14.7709999084473,0,1
141,"EMFWOR_NCAMC1-10A_2017",2017-06-10,2017,13.7469997406006,1.24899995326996,1
142,"EMFWOR_NCAMC1-10A_2017",2017-06-11,2017,11.1429996490479,1.25199997425079,1
143,"EMFWOR_NCAMC1-10A_2017",2017-06-12,2017,7.13600015640259,10.7639999389648,1
144,"EMFWOR_NCAMC1-10A_2017",2017-06-13,2017,9.19499969482422,10.4659996032715,1
145,"EMFWOR_NCAMC1-10A_2017",2017-06-14,2017,16.3020000457764,0,2
146,"EMFWOR_NCAMC1-10A_2017",2017-06-15,2017,19.2110004425049,0,2
147,"EMFWOR_NCAMC1-10A_2017",2017-06-16,2017,19.8129997253418,0,2
148,"EMFWOR_NCAMC1-10A_2017",2017-06-17,2017,21.9930000305176,0,2
149,"EMFWOR_NCAMC1-10A_2017",2017-06-18,2017,23.1989994049072,0,2
150,"EMFWOR_NCAMC1-10A_2017",2017-06-19,2017,28.4029998779297,0,2
151,"EMFWOR_NCAMC1-10A_2017",2017-06-20,2017,31.6490001678467,0,2
152,"EMFWOR_NCAMC1-10A_2017",2017-06-21,2017,30.1030006408691,0,2
153,"EMFWOR_NCAMC1-10A_2017",2017-06-22,2017,25.1439990997314,0,2
154,"EMFWOR_NCAMC1-10A_2017",2017-06-23,2017,24.6259994506836,0,2
155,"EMFWOR_NCAMC1-10A_2017",2017-06-24,2017,27.9029998779297,0,2
156,"EMFWOR_NCAMC1-10A_2017",2017-06-25,2017,30.6359996795654,0,3
157,"EMFWOR_NCAMC1-10A_2017",2017-06-26,2017,31.9179992675781,0,3
158,"EMFWOR_NCAMC1-10A_2017",2017-06-27,2017,27.3309993743896,0,3
159,"EMFWOR_NCAMC1-10A_2020",2020-07-06,2020,25.0470008850098,0,1
160,"EMFWOR_NCAMC1-10A_2020",2020-07-07,2020,26.4759998321533,0,1
161,"EMFWOR_NCAMC1-10A_2020",2020-07-08,2020,22.2169990539551,0,1
162,"EMFWOR_NCAMC1-10A_2020",2020-07-09,2020,24.8859996795654,0,2
163,"EMFWOR_NCAMC1-10A_2020",2020-07-10,2020,25.7259998321533,0,2
164,"EMFWOR_NCAMC1-10A_2020",2020-07-11,2020,28.0069999694824,0,2
165,"EMFWOR_NCAMC1-10A_2020",2020-07-12,2020,29.1110000610352,0,2
166,"EMFWOR_NCAMC1-10A_2020",2020-07-13,2020,27.7369995117188,0,2
167,"EMFWOR_NCAMC1-10A_2020",2020-07-14,2020,26.4459991455078,0,3
168,"EMFWOR_NCAMC1-10A_2020",2020-07-15,2020,27.1480007171631,0,3
169,"EMFWOR_NCAMC1-10A_2020",2020-07-16,2020,28.4290008544922,0,4
170,"EMFWOR_NCAMC1-10A_2020",2020-07-17,2020,31.2439994812012,0,4
171,"EMFWOR_NCAMC1-10A_2020",2020-07-18,2020,29.9020004272461,0,4
172,"EMFWOR_NCAMC1-10A_2020",2020-07-19,2020,30.3360004425049,0,4
173,"EMFWOR_NCAMC1-10A_2020",2020-07-20,2020,31.2880001068115,0,4
174,"EMFWOR_NCAMC1-10A_2020",2020-07-21,2020,32.2229995727539,0,4
175,"EMFWOR_NCAMC1-10A_2020",2020-07-22,2020,31.4419994354248,0,5
176,"EMFWOR_NCAMC1-10A_2020",2020-07-23,2020,29.7099990844727,0,5
177,"EMFWOR_NCAMC1-10A_2020",2020-07-24,2020,25.8479995727539,0,5
178,"EMFWOR_NCAMC1-10A_2020",2020-07-25,2020,27.382999420166,0,6
179,"EMFWOR_NCAMC1-10A_2020",2020-07-26,2020,28.7059993743896,0,6
180,"EMFWOR_NCAMC1-10A_2020",2020-07-27,2020,32.1240005493164,0,6
181,"EMFWOR_NCAMC1-10A_2020",2020-07-28,2020,30.5839996337891,0,6
182,"EMFWOR_NCAMC1-10A_2020",2020-07-29,2020,29.4099998474121,0,7
183,"EMFWOR_NCAMC1-10A_2020",2020-07-30,2020,31.17799949646,0,7
184,"EMFWOR_NCAMC1-10A_2020",2020-07-31,2020,32.0470008850098,0,8
185,"EMFWOR_NCAMC1-10A_2020",2020-08-01,2020,30.4109992980957,0,8
186,"EMFWOR_NCAMC1-10A_2020",2020-08-02,2020,29.8600006103516,0,8
187,"EMFWOR_NCAMC1-10A_2020",2020-08-03,2020,29.2719993591309,0,8
188,"EMFWOR_NCAMC1-10A_2020",2020-08-04,2020,27.6229991912842,0,9
189,"EMFWOR_NCAMC1-10A_2020",2020-08-05,2020,30.0939998626709,0,9
190,"EMFWOR_NCAMC1-10A_2020",2020-08-06,2020,27.6049995422363,0.810999989509583,9
191,"EMFWOR_NCAMC2-10A_2018",2018-06-05,2018,20.1450004577637,0,1
192,"EMFWOR_NCAMC2-10A_2018",2018-06-06,2018,19.0340003967285,0,1
193,"EMFWOR_NCAMC2-10A_2018",2018-06-07,2018,21.9360008239746,0,1
194,"EMFWOR_NCAMC2-10A_2018",2018-06-08,2018,20.3530006408691,0,2
195,"EMFWOR_NCAMC2-10A_2018",2018-06-09,2018,20.371000289917,1.20700001716614,2
196,"EMFWOR_NCAMC2-10A_2018",2018-06-10,2018,8.87399959564209,5.69999980926514,2
197,"EMFWOR_NCAMC2-10A_2018",2018-06-11,2018,11.9790000915527,0,2
198,"EMFWOR_NCAMC2-10A_2018",2018-06-12,2018,16.8150005340576,0,3
199,"EMFWOR_NCAMC2-10A_2018",2018-06-13,2018,23.7810001373291,0,3
200,"EMFWOR_NCAMC2-10A_2018",2018-06-14,2018,23.2140007019043,0,3
201,"EMFWOR_NCAMC2-10A_2018",2018-06-15,2018,20.3229999542236,0,3
202,"EMFWOR_NCAMC2-10A_2018",2018-06-16,2018,19.0189990997314,0,3
203,"EMFWOR_NCAMC2-10A_2018",2018-06-17,2018,15.4130001068115,0.412999987602234,3
204,"EMFWOR_NCAMC2-10A_2018",2018-06-18,2018,9.63599967956543,6.29500007629395,3
205,"EMFWOR_NCAMC2-10A_2018",2018-06-19,2018,12.6680002212524,2.75699996948242,4
206,"EMFWOR_NCAMC2-10A_2018",2018-06-20,2018,20.0259990692139,0,4
207,"EMFWOR_NCAMC2-10A_2018",2018-06-21,2018,24.496000289917,0,4
208,"EMFWOR_NCAMC2-10A_2018",2018-06-22,2018,22.8269996643066,0,4
209,"EMFWOR_NCAMC2-10A_2018",2018-06-23,2018,23.6959991455078,0,4
210,"EMFWOR_NCAMC2-10A_2018",2018-06-24,2018,21.2280006408691,0,4
211,"EMFWOR_NCAMC2-10A_2018",2018-06-25,2018,26.5919990539551,0,4
212,"EMFWOR_NCAMC2-10A_2018",2018-06-26,2018,24.80299949646,0,5
213,"EMFWOR_NCAMC2-10A_2018",2018-06-27,2018,24.7080001831055,0,5
214,"EMFWOR_NCAMC2-10A_2018",2018-06-28,2018,25.3159999847412,0,5
215,"EMFWOR_NCAMC2-10A_2018",2018-06-29,2018,18.9990005493164,0,5
216,"EMFWOR_NCAMC2-10A_2018",2018-06-30,2018,19.5960006713867,0,5
217,"EMFWOR_NCAMC2-10A_2018",2018-07-01,2018,23.7189998626709,0,5
218,"EMFWOR_NCAMC2-10A_2018",2018-07-02,2018,25.2590007781982,0,5
219,"EMFWOR_NCAMC2-10A_2018",2018-07-03,2018,22.5279998779297,0,6
220,"EMFWOR_NCAMC2-10A_2018",2018-07-04,2018,19.5639991760254,0,6
221,"EMFWOR_NCAMC2-10A_2018",2018-07-05,2018,24.8059997558594,0,6
222,"EMFWOR_NCAMC2-10A_2019",2019-06-10,2019,19.7409992218018,0,1
