"Nest_ID","Fate_cat","Initiation_date","Year_located","Project_ID","Nest_Ht","Orientation","Trees_2550","Trees_50","tmax","ppt","t"
"EMFWOR_NCAMC1-01A_2015","success","2015-06-06",2015,"EM_FWOR",2.3,20,33.3333333333333,17.5,26.1706569126674,1.4119999740805,34
"EMFWOR_NCAMC1-01A_2017","success","2017-05-23",2017,"EM_FWOR",4.5,140,50,15,27.5384287152972,0,13
"EMFWOR_NCAMC1-02A_2018","success","2018-05-28",2018,"EM_FWOR",5.2,300,191.666666666667,17.5,24.2519997188023,0,13
"EMFWOR_NCAMC1-02A_2019","failure","2019-06-12",2019,"EM_FWOR",4.6,218,191.666666666667,17.5,21.3631579750463,0,18
"EMFWOR_NCAMC1-09A_2015","success","2015-06-06",2015,"EM_FWOR",2.9,108,8.33333333333333,5,27.3081784248352,1.60596426576376,27
"EMFWOR_NCAMC1-09A_2018","success","2018-05-17",2018,"EM_FWOR",2.5,141,0,0,21.5516429288047,0.553464284964971,27
"EMFWOR_NCAMC1-10A_2017","success","2017-05-14",2017,"EM_FWOR",1.5,109,8.33333333333333,5,21.8983497858048,1.18654997348785,19
"EMFWOR_NCAMC1-10A_2020","success","2020-06-23",2020,"EM_FWOR",3.6,39,41.6666666666667,10,28.7349998354912,0.0253437496721745,31
"EMFWOR_NCAMC2-10A_2018","success","2018-05-23",2018,"EM_FWOR",3.9,82,91.6666666666667,7.5,20.3781935784124,0.528129027735803,30
"EMFWOR_NCAMC2-10A_2019","failure","2019-06-03",2019,"EM_FWOR",3.9,82,91.6666666666667,7.5,20.7510769183819,0,25
"EMFWOR_NCAMC3-08A_2018","success","2018-05-20",2018,"EM_FWOR",3.1,51,75,0,20.8854445086585,0.436361104249954,35
"EMFWOR_NCAMC3-08A_2020","success","2020-05-25",2020,"EM_FWOR",4.8,102,33.3333333333333,5,21.265883645346,0.500906984473384,42
"EMFWOR_NCAMC4-01A_2018","success","2018-06-03",2018,"EM_FWOR",3.1,2,75,20,24.2307366822895,0.324684218356484,18
"EMFWOR_NCAMC4-01A_2020","failure","2020-99-99",2020,"EM_FWOR",1.7,90,50,15,17.1771539908189,2.43115382928115,12
"EMFWOR_NCAMC4-07A_2016","success","2016-05-29",2016,"EM_FWOR",1.7,322,66.6666666666667,0,19.3734283447266,1.03085712024144,6
