"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","TreatmentType:Burn",-0.919374365232988,2.27361074458454,4.02813421017257,5.88900932510141,9.60547948600422,"Model1_TotalExposure"
"2","TreatmentType:Harvest",-0.820881140854342,0.6868938856397,1.47825664600358,2.3168608916327,4.13228680051075,"Model1_TotalExposure"
"3","TreatmentType:Harvest+Burn",2.93509716185701,6.64723490909227,8.78663489076574,11.0589922172271,15.6784189503353,"Model1_TotalExposure"
"4","NestTree:Abies",-23.6548987901411,-13.385777538862,-9.04897398956476,-5.59380422213546,-0.555932923946007,"Model1_TotalExposure"
"5","NestTree:Aspen",0.697422202373147,2.47182505709087,3.487404743961,4.60666825700968,7.13597925766969,"Model1_TotalExposure"
"6","NestTree:Juniper",-2.87938721620968,-1.101989429923,-0.234964282492913,0.635717452366497,2.46817743625671,"Model1_TotalExposure"
"7","NestTree:DougFir",-3.76270008940526,-1.37625494679326,-0.0528696787531737,1.40279340510277,4.78522367641426,"Model1_TotalExposure"
"8","Stage:Egg",-29.4706648771878,-21.1854481849051,-17.7714649365387,-14.9370238776025,-10.7997400567728,"Model1_TotalExposure"
"9","NestHt",-0.463910094994656,0.178424111965669,0.512968506356062,0.856874611156548,1.57185687206182,"Model1_TotalExposure"
"10","NestOrientation",-0.627850555935063,-0.121155769275766,0.118363228496347,0.35038916112441,0.805113712278147,"Model1_TotalExposure"
"11","InitDay",-3.65949364920584,-2.70013577199718,-2.27275732795368,-1.89690471927272,-1.29804141899248,"Model1_TotalExposure"
"12","LgTreeDens",-1.26208286024368,-0.66824922541237,-0.400487920923573,-0.144205206023314,0.343876676098936,"Model1_TotalExposure"
"13","SmTreeDens",-0.268699479749467,0.111586763930322,0.320245220628119,0.541920588317292,1.02669922790245,"Model1_TotalExposure"
"14","PercPonderosa",-2.34943365444987,-1.52960148698848,-1.16949233611787,-0.839594841936471,-0.250225494290431,"Model1_TotalExposure"
"15","Tmax",3.14577958621944,4.23783258879156,4.93129256796681,5.76320602742684,7.62174154356738,"Model1_TotalExposure"
"16","Tmax^2",-2.16767072121275,-1.57238290299718,-1.30848397139678,-1.07055474229772,-0.665954410737201,"Model1_TotalExposure"
"17","PPT",1.96519160860304,2.91295371915728,3.49971346515324,4.18437981154848,5.77592431205966,"Model1_TotalExposure"
"18","PPT^2",-1.96249515009947,-1.42643105421039,-1.18762953457535,-0.973697859753176,-0.618274683011893,"Model1_TotalExposure"
"19","ForestCV",-0.6857996392386,-0.0878946003653765,0.218763242997986,0.534215229673032,1.18762793209414,"Model1_TotalExposure"
"20","Contagion",-1.40193134983228,-0.707699287247522,-0.375518602007275,-0.0423428469066607,0.656581938987686,"Model1_TotalExposure"
"21","NumOpenPatch",-1.68291629728432,-0.926242733752297,-0.579558333898119,-0.245159069185928,0.402896271471462,"Model1_TotalExposure"
"22","PercHarvest",-1.24198212190524,-0.398256184723868,0.0206795454447196,0.440272575505206,1.33960526749955,"Model1_TotalExposure"
"23","PercBurn",-5.3839497063412,-3.68598828579907,-2.88466435509395,-2.11848990950557,-0.815997942103962,"Model1_TotalExposure"
