"","zvalue","Mean","p","p_cat","direction","p_dir","Model"
"1","NestTree:Abies",0.0153164983164983,0.0153164983164983,"s","negative",-0.0153164983164983,"Model1_TotalExposure"
"2","NestTree:Aspen",0.992801346801347,0.0071986531986532,"s","positive",0.0071986531986532,"Model1_TotalExposure"
"3","NestTree:Juniper",0.421744107744108,0.421744107744108,"ns","negative",NA,"Model1_TotalExposure"
"4","NestTree:DougFir",0.487289562289562,0.487289562289562,"ns","negative",NA,"Model1_TotalExposure"
"5","TreatmentType:Burn",0.94283164983165,0.0571683501683502,"ns","positive",NA,"Model1_TotalExposure"
"6","TreatmentType:Harvest",0.900454545454546,0.0995454545454545,"ns","positive",NA,"Model1_TotalExposure"
"7","TreatmentType:Harvest+Burn",0.99947138047138,0.000528619528619489,"s","positive",0.000528619528619489,"Model1_TotalExposure"
"8","Stage:Egg",0,0,"s","negative",0,"Model1_TotalExposure"
"9","NestHt",0.85230303030303,0.14769696969697,"ns","positive",NA,"Model1_TotalExposure"
"10","NestOrientation",0.641959595959596,0.358040404040404,"ns","positive",NA,"Model1_TotalExposure"
"11","InitDay",0,0,"s","negative",0,"Model1_TotalExposure"
"12","LgTreeDens",0.151734006734007,0.151734006734007,"ns","negative",NA,"Model1_TotalExposure"
"13","SmTreeDens",0.849198653198653,0.150801346801347,"ns","positive",NA,"Model1_TotalExposure"
"14","PercPonderosa",0.00584511784511784,0.00584511784511788,"s","negative",-0.00584511784511788,"Model1_TotalExposure"
"15","Tmax",1,0,"s","positive",0,"Model1_TotalExposure"
"16","Tmax^2",1.01010101010101e-05,1.01010101010157e-05,"s","negative",-1.01010101010157e-05,"Model1_TotalExposure"
"17","PPT",1,0,"s","positive",0,"Model1_TotalExposure"
"18","PPT^2",0,0,"s","negative",0,"Model1_TotalExposure"
"19","ForestCV",0.683858585858586,0.316141414141414,"ns","positive",NA,"Model1_TotalExposure"
"20","Contagion",0.218653198653199,0.218653198653199,"ns","negative",NA,"Model1_TotalExposure"
"21","NumOpenPatch",0.119915824915825,0.119915824915825,"ns","negative",NA,"Model1_TotalExposure"
"22","PercHarvest",0.516707070707071,0.483292929292929,"ns","positive",NA,"Model1_TotalExposure"
"23","PercBurn",0.00223232323232323,0.00223232323232325,"s","negative",-0.00223232323232325,"Model1_TotalExposure"
