"","Nest_ID","Fate_cat","Visit_date","Year_located","Project_ID","Transect_ID2","Julian_start","Julian_end","interval","Stage","Trt_cat","Nest_Ht","cosOrientation","Init_day","Tree_sp","Trees_2550","Trees_50","pPIPO","a1000_areacv2","a1000_contag","a1000_np1","a1000_Ha","a1000_RxBu","maxTmax_C","meanTmax_C","maxPpt_mm","meanPpt_mm","prevStage","Age"
"1","EMPAID_NSG10A_2015","failure","2015-05-19",2015,"EMPAID","312",135,139,3,"I","HB",1.9,0.241921895599668,134,"PIPO",33.3333333333333,12.5,0.666666666666667,259.7009888,31.5953007,31,39.2490005,75.9716034,17.8090000152588,14.6147998809814,10.2589998245239,3.73119997382164,"L",5
"2","EMPAID_NB-U01A_2015","success","2015-05-22",2015,"EMPAID","EMPAID_B-U",140,142,1,"I","U",1.4,0.961261695938319,139,"PIPO",83.3333333333333,12.5,0.8,234.7059937,14.5546999,27,0,0,19.2059993743896,17.4936663309733,5.59600019454956,2.76300009091695,"L",3
"3","EMPAID_NCW-D10A_2017","success","2017-05-22",2017,"EMPAID","EMPAID_CW-D",139,142,1,"I","HB",2.1,0.743144825477394,131,"PIPO",50,2.5,0.285714285714286,239.3390045,24.2194996,90,26.9286995,19.3017006,22.4099998474121,19.0567498207092,0.802999973297119,0.494249992072582,"I",11
"4","EMMAOR_NDUGC1-06A_2017","failure","2017-05-24",2017,"EMMAOR","94",143,144,1,"I","U",2.75,0.309016994374947,139,"JUOC",83.3333333333333,30,0.826086956521739,313.9710083,16.4123001,76,7.9202099,9.0810699,27.5979995727539,26.1724996566772,0,0,"I",5
"5","EMMAOR_NDUGC1-06A_2017","failure","2017-05-25",2017,"EMMAOR","94",144,145,2,"I","U",2.75,0.309016994374947,139,"JUOC",83.3333333333333,30,0.826086956521739,313.9710083,16.4123001,76,7.9202099,9.0810699,27.5979995727539,21.5,0,0,"I",6
"6","EMPAID_N2WS05A_2017","failure","2017-05-25",2017,"EMPAID","EMPAID_2WS",143,145,1,"I","B",1.5,-0.731353701619171,132,"PIPO",33.3333333333333,15,1,268.2980042,6.69523,45,19.2432003,65.1016998,24.3850002288818,21.5733331044515,0,0,"I",13
"7","EMPAID_NCW-A03A_2016","success","2016-05-26",2016,"EMPAID","EMPAID_CW-A",144,147,1,"L","H",1.2,0.927183854566787,144,"PIPO",16.6666666666667,10,0.857142857142857,300.3580017,12.9594002,40,43.6492004,4.2397399,18.4890003204346,15.178750038147,5.01800012588501,1.61475004255772,"L",3
"8","EMPAID_NCU10A_2013","success","2013-05-28",2013,"EMPAID","EMPAID_CU",142,148,2,"I","H",1.8,-0.5,142,"PIPO",16.6666666666667,27.5,0.846153846153846,367.321991,8.3812399,64,35.2303009,0,19.4519996643066,13.4611430849348,7.23099994659424,3.2852857198034,"L",6
"9","EMFWOR_NCAMC4-10B_2018","success","2018-05-29",2018,"EMFWOR","EMFWOR_CAMC4",144,149,2,"I","U",2.5,0.17364817766693,142,"POTR5",8.33333333333333,0,0,310.7160034,19.4978008,20,0,0,19.7000007629395,16.0650002161662,15.081000328064,5.1966667175293,"L",7
"10","EMFWOR_NCAMC5-01A_2018","success","2018-05-29",2018,"EMFWOR","EMFWOR_CAMC5",141,149,2,"I","U",7.3,-0.453990499739547,140,"POTR5",25,2.5,0.2,266.1570129,28.5111008,13,0,0,18.9990005493164,15.5243332121107,14.2840003967285,4.67033339209027,"L",9
