"","ID","predictor","fate"
"1",1,7.5,1
"2",2,8.5,1
"3",3,8,1
"4",4,13.6666666666667,0
"5",5,10,1
"6",6,10,1
"7",7,11,1
"8",8,14,1
"9",9,9.66666666666667,1
"10",10,7,1
"11",11,10.6666666666667,1
"12",12,12,1
"13",13,12.5,0
"14",14,12,1
"15",15,9.33333333333333,1
"16",16,10.5,1
"17",17,7.5,1
"18",18,11.3333333333333,1
"19",19,9,0
"20",20,7.33333333333333,1
"21",21,6.33333333333333,1
"22",22,8.66666666666667,1
"23",23,11,1
"24",24,9,1
"25",25,9.33333333333333,1
"26",26,14.5,1
"27",27,9.5,1
"28",28,11.5,1
"29",29,8,1
"30",30,12.5,1
"31",31,11.3333333333333,1
"32",32,7.5,1
"33",33,11.5,1
"34",34,11.5,1
"35",35,9.5,1
"36",36,8.5,1
"37",37,8,1
"38",38,12.5,1
"39",39,10.3333333333333,1
"40",40,12,1
"41",41,11,1
"42",42,9.5,0
"43",43,10.6666666666667,0
"44",44,10,1
"45",45,7.5,1
"46",46,9,1
"47",47,11,0
"48",48,9,1
"49",49,7,0
"50",50,9,1
"51",51,10.5,1
"52",52,8.5,1
"53",53,9,1
"54",54,10,1
"55",55,8.33333333333333,1
"56",56,9.33333333333333,0
"57",57,10,1
"58",58,7.5,1
"59",59,8.33333333333333,1
"60",60,12,1
"61",61,10.3333333333333,1
"62",62,9.5,1
"63",63,12,1
"64",64,10.5,1
"65",65,6.5,1
"66",66,12,1
"67",67,7,0
"68",68,8.33333333333333,1
"69",69,11.5,0
"70",70,11,1
"71",71,4.5,1
"72",72,9.5,1
"73",73,9.33333333333333,1
"74",74,9.5,1
"75",75,9,0
"76",76,9.5,0
"77",77,13.5,1
"78",78,12,1
"79",79,13.5,1
"80",80,13,1
"81",81,10.5,1
"82",82,10.5,0
"83",83,7.33333333333333,0
"84",84,9,1
"85",85,8.66666666666667,1
"86",86,8.5,1
"87",87,7.66666666666667,1
"88",88,14,0
"89",89,8.5,1
"90",90,9,1
"91",91,8.5,1
"92",92,12,0
"93",93,11,1
"94",94,11,1
"95",95,10.3333333333333,0
"96",96,6.66666666666667,1
"97",97,6.5,0
"98",98,13.5,1
"99",99,12,1
"100",100,14,1
"101",101,5.5,1
"102",102,12.5,1
"103",103,9.5,0
"104",104,12,1
"105",105,8,0
"106",106,10,1
"107",107,11.3333333333333,1
"108",108,10.3333333333333,1
"109",109,13.5,1
"110",110,11.3333333333333,1
"111",111,9.5,1
"112",112,7.5,1
"113",113,9.33333333333333,1
"114",114,11,1
"115",115,8,0
"116",116,8.5,1
"117",117,8.5,1
"118",118,9,1
"119",119,10.5,1
"120",120,8.5,1
"121",121,10,1
"122",122,11.3333333333333,1
"123",123,13,1
"124",124,9,1
"125",125,10.5,1
"126",126,7.33333333333333,0
"127",127,9,1
"128",128,8.5,1
"129",129,6.5,1
"130",130,10.5,1
"131",131,11,1
"132",132,9.5,1
"133",133,9.33333333333333,1
"134",134,12,1
"135",135,7,1
"136",136,4,1
"137",137,7,1
"138",138,13.5,1
"139",139,14.5,1
"140",140,6,0
"141",141,10,1
"142",142,13.6666666666667,1
"143",143,12,1
"144",144,6,1
"145",145,8,1
"146",146,11,1
"147",147,8.66666666666667,1
"148",148,9.5,1
"149",149,9.5,1
"150",150,14,1
"151",151,9,1
"152",152,7,0
"153",153,7,1
"154",154,8,1
"155",155,5.5,1
"156",156,13,1
"157",157,6.33333333333333,1
"158",158,8.5,1
"159",159,8,1
"160",160,8,0
"161",161,9.5,1
"162",162,11,0
"163",163,7,0
"164",164,9.66666666666667,1
"165",165,9.5,1
"166",166,10.3333333333333,0
"167",167,9.5,1
"168",168,11.5,1
"169",169,13.5,1
"170",170,11,1
"171",171,8,0
"172",172,5,0
"173",173,8.5,0
"174",174,6.5,0
"175",175,10,1
"176",176,7,0
"177",177,6.33333333333333,1
"178",178,9,1
"179",179,11.3333333333333,0
"180",180,9,1
"181",181,8,1
"182",182,10.6666666666667,1
"183",183,6,1
"184",184,12,1
"185",185,9.33333333333333,1
"186",186,7,1
"187",187,9,1
"188",188,9.5,1
"189",189,17.5,1
"190",190,7.5,1
"191",191,13.5,1
"192",192,13.5,1
"193",193,14.5,1
"194",194,12.3333333333333,1
"195",195,8,1
"196",196,8,0
"197",197,11,0
"198",198,12,0
"199",199,4,0
"200",200,12,0
"201",201,8,0
"202",202,9.66666666666667,1
"203",203,10.3333333333333,1
"204",204,10.5,0
"205",205,13,1
"206",206,7.66666666666667,0
"207",207,10.6666666666667,1
"208",208,10,1
"209",209,12,1
"210",210,8,1
"211",211,8.5,1
"212",212,9.5,1
"213",213,9,1
"214",214,10,1
"215",215,11.6666666666667,1
"216",216,10.6666666666667,1
"217",217,8.5,1
"218",218,5.5,0
"219",219,10,1
"220",220,12,1
"221",221,6,0
"222",222,9.5,1
"223",223,9.5,1
"224",224,9,1
"225",225,10.5,1
"226",226,10.6666666666667,1
"227",227,10.5,1
"228",228,14,1
"229",229,8.5,1
"230",230,11.5,1
"231",231,11,1
"232",232,13,1
"233",233,7,0
"234",234,8.66666666666667,1
"235",235,8,1
"236",236,8.5,1
"237",237,12,0
"238",238,8,1
"239",239,9.66666666666667,1
"240",240,12.5,1
"241",241,8.66666666666667,1
"242",242,10.6666666666667,0
"243",243,10.5,0
"244",244,11.5,1
"245",245,12.3333333333333,1
"246",246,16,1
"247",247,14,1
"248",248,12.5,0
"249",249,13.5,1
"250",250,10,1
"251",251,13,1
"252",252,7,1
"253",253,5,1
"254",254,8,0
"255",255,8.66666666666667,0
"256",256,11.3333333333333,1
"257",257,14,1
"258",258,12,0
"259",259,11.5,1
"260",260,10,1
"261",261,11,1
"262",262,12.5,1
"263",263,11,1
"264",264,10.3333333333333,1
"265",265,8.33333333333333,1
"266",266,10.5,1
"267",267,11,1
"268",268,7.5,1
"269",269,10,1
"270",270,13,1
"271",271,10,1
"272",272,10.5,1
"273",273,14,1
"274",274,10.25,1
"275",275,9.5,1
"276",276,10.3333333333333,1
"277",277,14,0
"278",278,7,0
"279",279,4,0
"280",280,11.3333333333333,1
"281",281,12,1
"282",282,9.5,1
"283",283,9.33333333333333,1
"284",284,6,1
"285",285,10.5,1
"286",286,11,1
"287",287,7,1
"288",288,11,1
"289",289,8.5,1
"290",290,11.6666666666667,1
"291",291,7,0
"292",292,5,1
"293",293,8,0
"294",294,10.5,0
"295",295,9.33333333333333,1
"296",296,6,0
"297",297,11.3333333333333,0
"298",298,9,0
"299",299,12,0
"300",300,6,1
"301",301,11.3333333333333,1
