"","Card_number","Site_transect","Site","Transect","Depth_ft","Max_Diam_1_cm","Substrate_Code","Stipe_num","sst_mean","wave_p_mean","t","Presence"
"1",1001,"Mohawk_2","Mohawk",2,12.1409,30,"B",7.5,17.5617938322938,3.83667017391401,241,0
"2",1002,"Hope Ranch_2","Hope Ranch",2,28.1704,44,"SS",5.5,17.4369204851752,3.52256621588361,274,0
"3",1003,"Hope Ranch_2","Hope Ranch",2,28.1704,35,"SS",8.5,17.4369204851752,3.52256621588361,274,0
"4",1004,"Mohawk_2","Mohawk",2,14.1409,35,"B",22,20.0574615384615,2.37264409778522,130,0
"5",1006,"Hope Ranch_2","Hope Ranch",2,27.1704,23,"SS",6,19.7971428571429,1.94259236495641,168,0
"6",1007,"Hope Ranch_2","Hope Ranch",2,29.1993,61,"S",8,19.7971428571429,1.94259236495641,168,0
"7",1008,"Hope Ranch_2","Hope Ranch",2,28.1993,140,"S",96,19.7971428571429,1.94259236495641,168,0
"8",1009,"Hope Ranch_2","Hope Ranch",2,29.1993,60,"S",23.5,17.4369204851752,3.52256621588361,274,0
"9",1010,"Mohawk_2","Mohawk",2,14.1409,28,"B",12,20.0574615384615,2.37264409778522,130,0
"10",1011,"Hope Ranch_2","Hope Ranch",2,31.4788,35,"SS",4,16.553230795968,2.57605838690076,358,0
"11",1012,"Mohawk_2","Mohawk",2,22.1409,35,"B",7,20.0574615384615,2.37264409778522,130,0
"12",1013,"Mohawk_3","Mohawk",3,10.9191,20,"B",14,20.0862601626016,2.4427403921409,123,0
"13",1014,"Hope Ranch_2","Hope Ranch",2,29.4788,20,"S",12,19.7971428571429,1.94259236495641,168,0
"14",1015,"Hope Ranch_2","Hope Ranch",2,29.1993,30,"SS",9,19.7971428571429,1.94259236495641,168,0
"15",1016,"Hope Ranch_2","Hope Ranch",2,31.1704,37,"SS",11,19.7971428571429,1.94259236495641,168,0
"16",1017,"Hope Ranch_2","Hope Ranch",2,31.4788,35,"SS",4.66666666666667,16.6697723869422,3.01073177363894,358,0
"17",1018,"Mohawk_2","Mohawk",2,21.1409,45,"B",29,17.5617938322938,3.83667017391401,241,0
"18",1019,"Hope Ranch_2","Hope Ranch",2,28.1704,42,"SS",4.5,17.4369204851752,3.52256621588361,274,0
"19",1020,"Hope Ranch_2","Hope Ranch",2,28.1704,20,"S",8,17.4369204851752,3.52256621588361,274,0
"20",1021,"Mohawk_2","Mohawk",2,23.1409,25,"B",14,20.0574615384615,2.37264409778522,130,0
"21",1022,"Hope Ranch_2","Hope Ranch",2,27.1704,30,"S",16,19.7971428571429,1.94259236495641,168,0
"22",1023,"Mohawk_2","Mohawk",2,17.1409,35,"B",7,20.0574615384615,2.37264409778522,130,0
"23",1024,"Mohawk_2","Mohawk",2,13.1409,15,"B",15,20.0574615384615,2.37264409778522,130,0
"24",1025,"Hope Ranch_2","Hope Ranch",2,29.1993,37,"S",10,19.7971428571429,1.94259236495641,168,0
"25",1026,"Mohawk_2","Mohawk",2,25.1409,21,"SS",11,17.5617938322938,3.83667017391401,241,0
"26",1027,"Hope Ranch_2","Hope Ranch",2,29.1993,12,"S",18,19.7971428571429,1.94259236495641,168,0
"27",1028,"Mohawk_2","Mohawk",2,15.1409,43,"B",58,20.0574615384615,2.37264409778522,130,0
"28",1029,"Hope Ranch_2","Hope Ranch",2,29.1993,42,"S",13,19.7971428571429,1.94259236495641,168,0
"29",1030,"Mohawk_2","Mohawk",2,17.1409,45,"B",17.5,17.5617938322938,3.83667017391401,241,0
"30",1031,"Isla Vista_1","Isla Vista",1,38.8449,60,"SS",11,16.6462017612018,3.35552689259382,304,0
"31",1032,"Hope Ranch_4","Hope Ranch",4,31.8147,120,"S",28,20.0516949152542,2.29709035935999,118,0
"32",1033,"Mohawk_2","Mohawk",2,18.465,30,"B",36,20.0862601626016,2.4427403921409,123,0
"33",1034,"Isla Vista_1","Isla Vista",1,23.8449,40,"B",25,17.9041965615691,2.42280463545888,357,0
