"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","Sea surface temp",-3.21545225372572,-2.88322262845366,-2.71718349383086,-2.55296432071377,-2.25271794365413,"Model1_TotalExposure"
"2","Wave power",-1.42434291599855,-1.14641982426201,-1.00316453175009,-0.863412447183308,-0.605525017537375,"Model1_TotalExposure"
"3","Stipe number",0.966951939196476,1.23123326822275,1.36982893797025,1.50923913022006,1.77824349178972,"Model1_TotalExposure"
"4","Holdfast diameter",-0.307741255801312,-0.127598320847754,-0.0358608708600069,0.054284050633979,0.221668485193585,"Model1_TotalExposure"
"5","Plant depth",-0.109638934561267,0.0575119578766477,0.145479127111818,0.234469757768201,0.40498310649933,"Model1_TotalExposure"
"6","Wave power*Depth",-0.113993871668326,0.0787825781080897,0.179770182973422,0.281517431783915,0.475005014312679,"Model1_TotalExposure"
"7","Wave power*Stipe number",0.187362770248644,0.469503065169715,0.614577752217901,0.758605274516473,1.03129302848646,"Model1_TotalExposure"
"8","Wave power*Holdfast diameter",-0.311884905001444,-0.114592523647022,-0.0132937763472852,0.086047340643638,0.26981467410341,"Model1_TotalExposure"
"9","Substrate = boulder",-0.510053609778409,0.104860107767121,0.446889645872071,0.802919405940731,1.50715217183841,"Model1_TotalExposure"
"10","Substrate = cobble",-0.875116944001465,-0.3977945554934,-0.139973141773572,0.119349772431419,0.623983849854832,"Model1_TotalExposure"
"11","Substrate = sand",0.0921803175507059,0.364334068882658,0.508889381463231,0.65476173354662,0.934774454003325,"Model1_TotalExposure"
"12","Substrate = shallow sand",-0.437637207684081,-0.116000682556776,0.0565250339790161,0.229215540257021,0.560324295209295,"Model1_TotalExposure"
