"","Site","Year","Block","Trt","Plot","Tree_Number","Sp_code","Cond","DBH","CoreID","response","priorDBH","priorYear","PlotID","totalPlotBA_ha","priorBA","CanopyCover","maxVPD","minSWA"
"1","FV",2006,1,1,10,1,"PIPO",1,15.8,"FV_1_1_10_1","Live",15.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"2","FV",2011,1,1,10,1,"PIPO",1,16,"FV_1_1_10_1","Live",15.8,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"3","FV",2019,1,1,10,1,"PIPO",1,16.9,"FV_1_1_10_1","Live",16,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"4","FV",2006,1,1,10,10,"PIPO",1,2.7,"FV_1_1_10_10","Live",2.2,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"5","FV",2011,1,1,10,10,"PIPO",1,2.8,"FV_1_1_10_10","Live",2.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"6","FV",2019,1,1,10,10,"PIPO",1,3.6,"FV_1_1_10_10","Live",2.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"7","FV",2006,1,1,10,11,"PIPO",1,5.9,"FV_1_1_10_11","Live",4.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"8","FV",2011,1,1,10,11,"PIPO",1,6.5,"FV_1_1_10_11","Live",5.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"9","FV",2019,1,1,10,11,"PIPO",1,8.4,"FV_1_1_10_11","Live",6.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"10","FV",2006,1,1,10,12,"PIPO",1,1.5,"FV_1_1_10_12","Live",1.2,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"11","FV",2011,1,1,10,12,"PIPO",2,1.6,"FV_1_1_10_12","Live",1.5,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"12","FV",2019,1,1,10,12,"PIPO",1,1.4,"FV_1_1_10_12","Live",1.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"13","FV",2006,1,1,10,13,"PIPO",1,6.8,"FV_1_1_10_13","Live",6.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"14","FV",2011,1,1,10,13,"PIPO",1,7,"FV_1_1_10_13","Live",6.8,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"15","FV",2019,1,1,10,13,"PIPO",1,7.5,"FV_1_1_10_13","Live",7,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"16","FV",2006,1,1,10,14,"PIPO",1,1.3,"FV_1_1_10_14","Live",0.8,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"17","FV",2011,1,1,10,14,"PIPO",1,1.4,"FV_1_1_10_14","Live",1.3,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"18","FV",2019,1,1,10,14,"PIPO",1,2.3,"FV_1_1_10_14","Live",1.4,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"19","FV",2006,1,1,10,15,"PIPO",1,30.6,"FV_1_1_10_15","Live",28.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"20","FV",2011,1,1,10,15,"PIPO",1,31.8,"FV_1_1_10_15","Live",30.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"21","FV",2019,1,1,10,15,"PIPO",1,35.2,"FV_1_1_10_15","Live",31.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"22","FV",2006,1,1,10,16,"PIPO",1,5.9,"FV_1_1_10_16","Live",5.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"23","FV",2011,1,1,10,16,"PIPO",1,6.6,"FV_1_1_10_16","Live",5.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"24","FV",2019,1,1,10,16,"PIPO",1,7.3,"FV_1_1_10_16","Live",6.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"25","FV",2006,1,1,10,17,"PIPO",1,3.2,"FV_1_1_10_17","Live",2.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"26","FV",2011,1,1,10,17,"PIPO",1,3.3,"FV_1_1_10_17","Live",3.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"27","FV",2019,1,1,10,17,"PIPO",1,3.9,"FV_1_1_10_17","Live",3.3,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"28","FV",2006,1,1,10,18,"PIPO",1,3.2,"FV_1_1_10_18","Live",3.1,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
