"","Site","Block","Trt","Plot","Tree_Number","CoreID","PlotID","response","start_year","end_year","BA","DBH","CanopyCover","maxVPD","minSWA"
"1","FV",1,1,1,1,"FV_1_1_1_1","FV_1_1_1","Live",1998,2019,46.6600555079505,44.8666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"2","FV",1,1,1,4,"FV_1_1_1_4","FV_1_1_1","Live",1998,2019,46.6600555079505,37.3333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"3","FV",1,1,1,6,"FV_1_1_1_6","FV_1_1_1","Live",1998,2019,46.6600555079505,11.3333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"4","FV",1,1,1,7,"FV_1_1_1_7","FV_1_1_1","Live",1998,2019,46.6600555079505,36.8,47.5335276957143,9.11537424473813,17.6228101295175
"5","FV",1,1,1,9,"FV_1_1_1_9","FV_1_1_1","Live",1998,2019,46.6600555079505,21.5333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"6","FV",1,1,1,10,"FV_1_1_1_10","FV_1_1_1","Live",1998,2019,46.6600555079505,11.3666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"7","FV",1,1,1,11,"FV_1_1_1_11","FV_1_1_1","Dead",1998,2011,45.5844356417257,0.8,47.9297488207692,9.11537424473813,17.6228101295175
"8","FV",1,1,1,12,"FV_1_1_1_12","FV_1_1_1","Dead",1998,2011,45.5844356417257,1.3,47.9297488207692,9.11537424473813,17.6228101295175
"9","FV",1,1,1,13,"FV_1_1_1_13","FV_1_1_1","Live",1998,2019,46.6600555079505,5.9,47.5335276957143,9.11537424473813,17.6228101295175
"10","FV",1,1,1,14,"FV_1_1_1_14","FV_1_1_1","Live",1998,2011,45.5844356417257,1.95,47.9297488207692,9.11537424473813,17.6228101295175
"11","FV",1,1,1,15,"FV_1_1_1_15","FV_1_1_1","Live",1998,2019,46.6600555079505,7.23333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"12","FV",1,1,1,18,"FV_1_1_1_18","FV_1_1_1","Live",1998,2019,46.6600555079505,36.3666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"13","FV",1,1,1,19,"FV_1_1_1_19","FV_1_1_1","Live",1998,2011,45.5844356417257,6.15,47.9297488207692,9.11537424473813,17.6228101295175
"14","FV",1,1,1,20,"FV_1_1_1_20","FV_1_1_1","Live",1998,2019,46.6600555079505,6.03333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"15","FV",1,1,1,22,"FV_1_1_1_22","FV_1_1_1","Live",1998,2019,46.6600555079505,6.26666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"16","FV",1,1,1,24,"FV_1_1_1_24","FV_1_1_1","Live",1998,2019,46.6600555079505,2.5,47.5335276957143,9.11537424473813,17.6228101295175
"17","FV",1,1,1,25,"FV_1_1_1_25","FV_1_1_1","Live",1998,2019,46.6600555079505,6.36666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"18","FV",1,1,1,26,"FV_1_1_1_26","FV_1_1_1","Dead",1998,2019,46.6600555079505,6.03333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"19","FV",1,1,1,27,"FV_1_1_1_27","FV_1_1_1","Live",1998,2019,46.6600555079505,13.3333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"20","FV",1,1,1,31,"FV_1_1_1_31","FV_1_1_1","Live",1998,2019,46.6600555079505,10.0333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"21","FV",1,1,1,32,"FV_1_1_1_32","FV_1_1_1","Live",1998,2011,45.5844356417257,5.3,47.9297488207692,9.11537424473813,17.6228101295175
"22","FV",1,1,1,34,"FV_1_1_1_34","FV_1_1_1","Live",1998,2019,46.6600555079505,33.7,47.5335276957143,9.11537424473813,17.6228101295175
"23","FV",1,1,1,35,"FV_1_1_1_35","FV_1_1_1","Live",1998,2019,46.6600555079505,25.3,47.5335276957143,9.11537424473813,17.6228101295175
"24","FV",1,1,1,36,"FV_1_1_1_36","FV_1_1_1","Live",1998,2019,46.6600555079505,39.7,47.5335276957143,9.11537424473813,17.6228101295175
"25","FV",1,1,1,38,"FV_1_1_1_38","FV_1_1_1","Live",1998,2019,46.6600555079505,6.06666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"26","FV",1,1,1,40,"FV_1_1_1_40","FV_1_1_1","Live",1998,2011,45.5844356417257,9.85,47.9297488207692,9.11537424473813,17.6228101295175
"27","FV",1,1,1,41,"FV_1_1_1_41","FV_1_1_1","Dead",1998,2006,45.026059155,7.8,48.18622448625,9.11537424473813,17.6228101295175
"28","FV",1,1,1,42,"FV_1_1_1_42","FV_1_1_1","Dead",1998,2011,45.5844356417257,1.8,47.9297488207692,9.11537424473813,17.6228101295175
"29","FV",1,1,1,43,"FV_1_1_1_43","FV_1_1_1","Live",1998,2019,46.6600555079505,12.5,47.5335276957143,9.11537424473813,17.6228101295175
"30","FV",1,1,1,44,"FV_1_1_1_44","FV_1_1_1","Live",1998,2019,46.6600555079505,12.1,47.5335276957143,9.11537424473813,17.6228101295175
"31","FV",1,1,1,45,"FV_1_1_1_45","FV_1_1_1","Dead",1998,2011,45.5844356417257,6,47.9297488207692,9.11537424473813,17.6228101295175
"32","FV",1,1,1,46,"FV_1_1_1_46","FV_1_1_1","Dead",1998,2019,46.6600555079505,9.66666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"33","FV",1,1,1,47,"FV_1_1_1_47","FV_1_1_1","Live",1998,2019,46.6600555079505,38.9,47.5335276957143,9.11537424473813,17.6228101295175
"34","FV",1,1,1,49,"FV_1_1_1_49","FV_1_1_1","Live",1998,2019,46.6600555079505,14.9333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"35","FV",1,1,1,51,"FV_1_1_1_51","FV_1_1_1","Live",1998,2011,45.5844356417257,8.6,47.9297488207692,9.11537424473813,17.6228101295175
"36","FV",1,1,1,52,"FV_1_1_1_52","FV_1_1_1","Live",1998,2019,46.6600555079505,39.6333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"37","FV",1,1,1,54,"FV_1_1_1_54","FV_1_1_1","Live",1998,2019,46.6600555079505,20.2,47.5335276957143,9.11537424473813,17.6228101295175
"38","FV",1,1,1,57,"FV_1_1_1_57","FV_1_1_1","Live",1998,2019,46.6600555079505,31.8666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"39","FV",1,1,1,61,"FV_1_1_1_61","FV_1_1_1","Dead",1998,2011,45.5844356417257,4.45,47.9297488207692,9.11537424473813,17.6228101295175
"40","FV",1,1,1,63,"FV_1_1_1_63","FV_1_1_1","Dead",1998,2011,45.5844356417257,6.1,47.9297488207692,9.11537424473813,17.6228101295175
"41","FV",1,1,1,65,"FV_1_1_1_65","FV_1_1_1","Dead",1998,2006,45.026059155,4.3,48.18622448625,9.11537424473813,17.6228101295175
"42","FV",1,1,1,68,"FV_1_1_1_68","FV_1_1_1","Live",1998,2019,46.6600555079505,5.8,47.5335276957143,9.11537424473813,17.6228101295175
"43","FV",1,1,1,69,"FV_1_1_1_69","FV_1_1_1","Live",1998,2019,46.6600555079505,26,47.5335276957143,9.11537424473813,17.6228101295175
"44","FV",1,1,1,70,"FV_1_1_1_70","FV_1_1_1","Live",1998,2011,45.5844356417257,5.25,47.9297488207692,9.11537424473813,17.6228101295175
"45","FV",1,1,1,71,"FV_1_1_1_71","FV_1_1_1","Live",1998,2019,46.6600555079505,27.3333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"46","FV",1,1,1,72,"FV_1_1_1_72","FV_1_1_1","Dead",1998,2011,45.5844356417257,5.3,47.9297488207692,9.11537424473813,17.6228101295175
"47","FV",1,1,1,73,"FV_1_1_1_73","FV_1_1_1","Live",1998,2019,46.6600555079505,35.9,47.5335276957143,9.11537424473813,17.6228101295175
"48","FV",1,1,1,74,"FV_1_1_1_74","FV_1_1_1","Live",1998,2019,46.6600555079505,25.3333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"49","FV",1,1,1,79,"FV_1_1_1_79","FV_1_1_1","Dead",1998,2019,46.6600555079505,8.1,47.5335276957143,9.11537424473813,17.6228101295175
"50","FV",1,1,1,80,"FV_1_1_1_80","FV_1_1_1","Live",1998,2006,45.026059155,1.4,48.18622448625,9.11537424473813,17.6228101295175
"51","FV",1,1,1,81,"FV_1_1_1_81","FV_1_1_1","Live",1998,2019,46.6600555079505,10.6666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"52","FV",1,1,1,82,"FV_1_1_1_82","FV_1_1_1","Live",1998,2019,46.6600555079505,8.56666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"53","FV",1,1,1,85,"FV_1_1_1_85","FV_1_1_1","Live",1998,2019,46.6600555079505,8.3,47.5335276957143,9.11537424473813,17.6228101295175
"54","FV",1,1,1,87,"FV_1_1_1_87","FV_1_1_1","Live",1998,2019,46.6600555079505,15.4,47.5335276957143,9.11537424473813,17.6228101295175
"55","FV",1,1,1,90,"FV_1_1_1_90","FV_1_1_1","Live",1998,2019,46.6600555079505,7.73333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"56","FV",1,1,1,91,"FV_1_1_1_91","FV_1_1_1","Live",1998,2019,46.6600555079505,4.23333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"57","FV",1,1,1,92,"FV_1_1_1_92","FV_1_1_1","Live",1998,2019,46.6600555079505,12.2,47.5335276957143,9.11537424473813,17.6228101295175
"58","FV",1,1,1,93,"FV_1_1_1_93","FV_1_1_1","Live",1998,2019,46.6600555079505,13.9333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"59","FV",1,1,1,95,"FV_1_1_1_95","FV_1_1_1","Live",1998,2019,46.6600555079505,10.2333333333333,47.5335276957143,9.11537424473813,17.6228101295175
"60","FV",1,1,1,96,"FV_1_1_1_96","FV_1_1_1","Live",1998,2019,46.6600555079505,2.96666666666667,47.5335276957143,9.11537424473813,17.6228101295175
"61","FV",1,1,1,97,"FV_1_1_1_97","FV_1_1_1","Live",1998,2019,46.6600555079505,21.4,47.5335276957143,9.11537424473813,17.6228101295175
"62","FV",1,1,1,99,"FV_1_1_1_99","FV_1_1_1","Live",1998,2019,46.6600555079505,40.9,47.5335276957143,9.11537424473813,17.6228101295175
"63","FV",1,1,2,2,"FV_1_1_2_2","FV_1_1_2","Live",1998,2019,48.093890135368,5.13333333333333,43.8415103404762,9.11537424473813,17.7664445869375
"64","FV",1,1,2,3,"FV_1_1_2_3","FV_1_1_2","Live",1998,2019,48.093890135368,9.16666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"65","FV",1,1,2,4,"FV_1_1_2_4","FV_1_1_2","Live",1998,2019,48.093890135368,3.16666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"66","FV",1,1,2,5,"FV_1_1_2_5","FV_1_1_2","Live",1998,2019,48.093890135368,8.63333333333333,43.8415103404762,9.11537424473813,17.7664445869375
"67","FV",1,1,2,6,"FV_1_1_2_6","FV_1_1_2","Live",1998,2019,48.093890135368,2.96666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"68","FV",1,1,2,7,"FV_1_1_2_7","FV_1_1_2","Live",1998,2019,48.093890135368,4.4,43.8415103404762,9.11537424473813,17.7664445869375
"69","FV",1,1,2,8,"FV_1_1_2_8","FV_1_1_2","Dead",1998,2006,47.289600616104,4.9,44.25568181625,9.11537424473813,17.7664445869375
"70","FV",1,1,2,9,"FV_1_1_2_9","FV_1_1_2","Live",1998,2019,48.093890135368,5.13333333333333,43.8415103404762,9.11537424473813,17.7664445869375
"71","FV",1,1,2,13,"FV_1_1_2_13","FV_1_1_2","Dead",1998,2006,47.289600616104,3.6,44.25568181625,9.11537424473813,17.7664445869375
"72","FV",1,1,2,14,"FV_1_1_2_14","FV_1_1_2","Dead",1998,2011,47.617014728052,4.2,44.0015539992308,9.11537424473813,17.7664445869375
"73","FV",1,1,2,18,"FV_1_1_2_18","FV_1_1_2","Live",1998,2019,48.093890135368,6.56666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"74","FV",1,1,2,19,"FV_1_1_2_19","FV_1_1_2","Live",1998,2019,48.093890135368,15.5,43.8415103404762,9.11537424473813,17.7664445869375
"75","FV",1,1,2,22,"FV_1_1_2_22","FV_1_1_2","Live",1998,2019,48.093890135368,16.9333333333333,43.8415103404762,9.11537424473813,17.7664445869375
"76","FV",1,1,2,23,"FV_1_1_2_23","FV_1_1_2","Dead",1998,2019,48.093890135368,14.6666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"77","FV",1,1,2,24,"FV_1_1_2_24","FV_1_1_2","Dead",1998,2019,48.093890135368,7.1,43.8415103404762,9.11537424473813,17.7664445869375
"78","FV",1,1,2,26,"FV_1_1_2_26","FV_1_1_2","Live",1998,2019,48.093890135368,11.1666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"79","FV",1,1,2,28,"FV_1_1_2_28","FV_1_1_2","Live",1998,2019,48.093890135368,35.1666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"80","FV",1,1,2,31,"FV_1_1_2_31","FV_1_1_2","Dead",1998,2006,47.289600616104,1.8,44.25568181625,9.11537424473813,17.7664445869375
"81","FV",1,1,2,33,"FV_1_1_2_33","FV_1_1_2","Live",1998,2011,47.617014728052,6.25,44.0015539992308,9.11537424473813,17.7664445869375
"82","FV",1,1,2,34,"FV_1_1_2_34","FV_1_1_2","Live",1998,2019,48.093890135368,25.3666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"83","FV",1,1,2,37,"FV_1_1_2_37","FV_1_1_2","Dead",1998,2019,48.093890135368,6.8,43.8415103404762,9.11537424473813,17.7664445869375
"84","FV",1,1,2,40,"FV_1_1_2_40","FV_1_1_2","Live",1998,2019,48.093890135368,11.3666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"85","FV",1,1,2,43,"FV_1_1_2_43","FV_1_1_2","Live",1998,2019,48.093890135368,9.56666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"86","FV",1,1,2,44,"FV_1_1_2_44","FV_1_1_2","Live",1998,2019,48.093890135368,24.6666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"87","FV",1,1,2,45,"FV_1_1_2_45","FV_1_1_2","Live",1998,2019,48.093890135368,25.1666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"88","FV",1,1,2,47,"FV_1_1_2_47","FV_1_1_2","Live",1998,2011,47.617014728052,8.1,44.0015539992308,9.11537424473813,17.7664445869375
"89","FV",1,1,2,48,"FV_1_1_2_48","FV_1_1_2","Dead",1998,2006,47.289600616104,4.7,44.25568181625,9.11537424473813,17.7664445869375
"90","FV",1,1,2,51,"FV_1_1_2_51","FV_1_1_2","Dead",1998,2006,47.289600616104,9.5,44.25568181625,9.11537424473813,17.7664445869375
"91","FV",1,1,2,52,"FV_1_1_2_52","FV_1_1_2","Live",1998,2019,48.093890135368,5.8,43.8415103404762,9.11537424473813,17.7664445869375
"92","FV",1,1,2,54,"FV_1_1_2_54","FV_1_1_2","Live",1998,2019,48.093890135368,3.13333333333333,43.8415103404762,9.11537424473813,17.7664445869375
"93","FV",1,1,2,58,"FV_1_1_2_58","FV_1_1_2","Live",1998,2019,48.093890135368,21.2,43.8415103404762,9.11537424473813,17.7664445869375
"94","FV",1,1,2,60,"FV_1_1_2_60","FV_1_1_2","Live",1998,2019,48.093890135368,3.8,43.8415103404762,9.11537424473813,17.7664445869375
"95","FV",1,1,2,66,"FV_1_1_2_66","FV_1_1_2","Live",1998,2019,48.093890135368,7.23333333333333,43.8415103404762,9.11537424473813,17.7664445869375
"96","FV",1,1,2,69,"FV_1_1_2_69","FV_1_1_2","Dead",1998,2011,47.617014728052,3.75,44.0015539992308,9.11537424473813,17.7664445869375
"97","FV",1,1,2,70,"FV_1_1_2_70","FV_1_1_2","Dead",1998,2019,48.093890135368,5.4,43.8415103404762,9.11537424473813,17.7664445869375
"98","FV",1,1,2,73,"FV_1_1_2_73","FV_1_1_2","Live",1998,2019,48.093890135368,34.1,43.8415103404762,9.11537424473813,17.7664445869375
"99","FV",1,1,2,74,"FV_1_1_2_74","FV_1_1_2","Live",1998,2019,48.093890135368,1.73333333333333,43.8415103404762,9.11537424473813,17.7664445869375
"100","FV",1,1,2,75,"FV_1_1_2_75","FV_1_1_2","Dead",1998,2006,47.289600616104,0.8,44.25568181625,9.11537424473813,17.7664445869375
"101","FV",1,1,2,76,"FV_1_1_2_76","FV_1_1_2","Live",1998,2019,48.093890135368,49.5666666666667,43.8415103404762,9.11537424473813,17.7664445869375
"102","FV",1,1,2,78,"FV_1_1_2_78","FV_1_1_2","Live",1998,2019,48.093890135368,1.65466666666667,43.8415103404762,9.11537424473813,17.7664445869375
"103","FV",1,1,2,79,"FV_1_1_2_79","FV_1_1_2","Live",1998,2019,48.093890135368,1.39866666666667,43.8415103404762,9.11537424473813,17.7664445869375
