"","Site","Block","Trt","Plot","Tree_Number","CoreID","PlotID","response","start_year","end_year","BA","DBH","CanopyCover","meanVPD","maxVPD","meanSWA","minSWA"
"1","FV",1,1,1,1,"FV_1_1_1_1","FV_1_1_1","Live",1998,2019,46.6600555079505,44.8666666666667,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"2","FV",1,1,1,4,"FV_1_1_1_4","FV_1_1_1","Live",1998,2019,46.6600555079505,37.3333333333333,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"3","FV",1,1,1,6,"FV_1_1_1_6","FV_1_1_1","Live",1998,2019,46.6600555079505,11.3333333333333,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"4","FV",1,1,1,7,"FV_1_1_1_7","FV_1_1_1","Live",1998,2019,46.6600555079505,36.8,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"5","FV",1,1,1,9,"FV_1_1_1_9","FV_1_1_1","Live",1998,2019,46.6600555079505,21.5333333333333,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"6","FV",1,1,1,10,"FV_1_1_1_10","FV_1_1_1","Live",1998,2019,46.6600555079505,11.3666666666667,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"7","FV",1,1,1,11,"FV_1_1_1_11","FV_1_1_1","Dead",1998,2011,45.5844356417257,0.8,47.9297488207692,7.76818335005601,14.9864565774693,48.16925733728,6.17898561022678
"8","FV",1,1,1,12,"FV_1_1_1_12","FV_1_1_1","Dead",1998,2011,45.5844356417257,1.3,47.9297488207692,7.76818335005601,14.9864565774693,48.16925733728,6.17898561022678
"9","FV",1,1,1,13,"FV_1_1_1_13","FV_1_1_1","Live",1998,2019,46.6600555079505,5.9,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"10","FV",1,1,1,14,"FV_1_1_1_14","FV_1_1_1","Live",1998,2011,45.5844356417257,1.95,47.9297488207692,7.76818335005601,14.9864565774693,48.16925733728,6.17898561022678
"11","FV",1,1,1,15,"FV_1_1_1_15","FV_1_1_1","Live",1998,2019,46.6600555079505,7.23333333333333,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"12","FV",1,1,1,18,"FV_1_1_1_18","FV_1_1_1","Live",1998,2019,46.6600555079505,36.3666666666667,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"13","FV",1,1,1,19,"FV_1_1_1_19","FV_1_1_1","Live",1998,2011,45.5844356417257,6.15,47.9297488207692,7.76818335005601,14.9864565774693,48.16925733728,6.17898561022678
"14","FV",1,1,1,20,"FV_1_1_1_20","FV_1_1_1","Live",1998,2019,46.6600555079505,6.03333333333333,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"15","FV",1,1,1,22,"FV_1_1_1_22","FV_1_1_1","Live",1998,2019,46.6600555079505,6.26666666666667,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"16","FV",1,1,1,24,"FV_1_1_1_24","FV_1_1_1","Live",1998,2019,46.6600555079505,2.5,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"17","FV",1,1,1,25,"FV_1_1_1_25","FV_1_1_1","Live",1998,2019,46.6600555079505,6.36666666666667,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"18","FV",1,1,1,26,"FV_1_1_1_26","FV_1_1_1","Dead",1998,2019,46.6600555079505,6.03333333333333,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"19","FV",1,1,1,27,"FV_1_1_1_27","FV_1_1_1","Live",1998,2019,46.6600555079505,13.3333333333333,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"20","FV",1,1,1,31,"FV_1_1_1_31","FV_1_1_1","Live",1998,2019,46.6600555079505,10.0333333333333,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"21","FV",1,1,1,32,"FV_1_1_1_32","FV_1_1_1","Live",1998,2011,45.5844356417257,5.3,47.9297488207692,7.76818335005601,14.9864565774693,48.16925733728,6.17898561022678
"22","FV",1,1,1,34,"FV_1_1_1_34","FV_1_1_1","Live",1998,2019,46.6600555079505,33.7,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"23","FV",1,1,1,35,"FV_1_1_1_35","FV_1_1_1","Live",1998,2019,46.6600555079505,25.3,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"24","FV",1,1,1,36,"FV_1_1_1_36","FV_1_1_1","Live",1998,2019,46.6600555079505,39.7,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
"25","FV",1,1,1,38,"FV_1_1_1_38","FV_1_1_1","Live",1998,2019,46.6600555079505,6.06666666666667,47.5335276957143,7.76854207415658,14.9864565774693,52.3041557769591,6.17898561022678
