"","Dataset","ID","fate","t","x"
"1","1",1,0,3,-0.59912048940435
"2","1",2,0,3,-0.59912048940435
"3","1",3,0,3,-0.59912048940435
"4","1",4,0,3,-0.59912048940435
"5","1",5,0,3,-0.59912048940435
"6","1",6,0,3,-0.59912048940435
"7","1",7,0,3,-0.59912048940435
"8","1",8,0,3,-0.59912048940435
"9","1",9,0,3,-0.59912048940435
"10","1",10,0,3,-0.59912048940435
"11","1",11,0,3,-0.59912048940435
"12","1",12,0,3,-0.59912048940435
"13","1",13,0,3,-0.59912048940435
"14","1",14,0,3,-0.59912048940435
"15","1",15,0,3,-0.59912048940435
"16","1",16,0,3,-0.59912048940435
"17","1",17,0,6,-0.133705295030646
"18","1",18,0,3,-0.59912048940435
"19","1",19,0,3,-0.59912048940435
"20","1",20,0,6,-0.133705295030646
"21","1",21,0,3,-0.59912048940435
"22","1",22,0,3,-0.59912048940435
"23","1",23,0,3,-0.59912048940435
"24","1",24,0,3,-0.59912048940435
"25","1",25,0,3,-0.59912048940435
"26","1",26,0,3,-0.59912048940435
"27","1",27,0,3,-0.59912048940435
"28","1",28,0,3,-0.59912048940435
"29","1",29,0,3,-0.59912048940435
"30","1",30,0,3,-0.59912048940435
"31","2",1,0,3,0.0107159592722964
"32","2",2,0,3,0.0107159592722964
"33","2",3,0,3,0.0107159592722964
"34","2",4,0,3,0.0107159592722964
"35","2",5,0,3,0.0107159592722964
"36","2",6,0,3,0.0107159592722964
"37","2",7,0,3,0.0107159592722964
"38","2",8,0,3,0.0107159592722964
"39","2",9,0,3,0.0107159592722964
"40","2",10,0,9,-0.119293510599844
"41","2",11,0,9,-0.119293510599844
"42","2",12,0,9,-0.119293510599844
"43","2",13,0,3,0.0107159592722964
"44","2",14,0,3,0.0107159592722964
"45","2",15,0,3,0.0107159592722964
"46","2",16,0,3,0.0107159592722964
"47","2",17,0,3,0.0107159592722964
"48","2",18,0,3,0.0107159592722964
"49","2",19,0,3,0.0107159592722964
"50","2",20,0,3,0.0107159592722964
"51","2",21,0,3,0.0107159592722964
"52","2",22,0,3,0.0107159592722964
"53","2",23,0,3,0.0107159592722964
"54","2",24,0,3,0.0107159592722964
"55","2",25,0,9,-0.119293510599844
"56","2",26,0,9,-0.119293510599844
"57","2",27,0,9,-0.119293510599844
