"Dataset","ID","fate","t","x"
"1",1,1,3,-0.00842242594226134
"1",2,1,3,-0.00842242594226134
"1",3,1,3,-0.00842242594226134
"1",4,1,6,-0.00360955974516749
"1",5,1,6,-0.00360955974516749
"1",6,1,6,-0.00360955974516749
"1",7,1,6,-0.00360955974516749
"1",8,1,6,-0.00360955974516749
"1",9,1,9,-0.000983804806332881
"1",10,1,9,-0.000983804806332881
"1",11,1,9,-0.000983804806332881
"1",12,1,9,-0.000983804806332881
"1",13,1,9,-0.000983804806332881
"1",14,1,12,0.000216866209633306
"1",15,1,12,0.000216866209633306
"1",16,1,12,0.000216866209633306
"1",17,1,12,0.000216866209633306
"1",18,1,15,-0.00156749135034685
"1",19,1,15,-0.00156749135034685
"1",20,1,15,-0.00156749135034685
"1",21,1,18,-0.00101590498896019
"1",22,1,18,-0.00101590498896019
"1",23,1,21,0.000235252872136881
"1",25,1,21,0.000235252872136881
"1",26,1,24,-0.000469467026890376
"1",27,1,3,-0.00842242594226134
"1",28,1,3,-0.00842242594226134
"1",29,1,3,-0.00842242594226134
"1",30,1,6,-0.00360955974516749
"1",24,0,12,0.000216866209633306
"2",1,1,3,-0.00216184121883176
"2",2,1,3,-0.00216184121883176
"2",3,1,3,-0.00216184121883176
"2",4,1,6,-0.000664818164813676
"2",6,1,6,-0.000664818164813676
"2",7,1,6,-0.000664818164813676
"2",8,1,6,-0.000664818164813676
"2",9,1,6,-0.000664818164813676
"2",10,1,9,-0.00313991927385031
"2",11,1,9,-0.00313991927385031
"2",12,1,9,-0.00313991927385031
"2",13,1,9,-0.00313991927385031
"2",15,1,9,-0.00313991927385031
"2",16,1,12,-0.000292524187788767
"2",17,1,12,-0.000292524187788767
"2",18,1,12,-0.000292524187788767
"2",19,1,12,-0.000292524187788767
"2",20,1,15,-0.00115270440992016
"2",21,1,15,-0.00115270440992016
"2",22,1,15,-0.00115270440992016
"2",23,1,18,0.000525963447880595
"2",25,1,18,0.000525963447880595
"2",26,1,21,-7.00551035496638e-05
"2",27,1,21,-7.00551035496638e-05
"2",28,1,24,-0.000323320677975448
"2",29,1,3,-0.00216184121883176
"2",30,1,3,-0.00216184121883176
"2",5,0,12,-0.000292524187788767
"2",14,0,15,-0.00115270440992016
"2",24,0,24,-0.000323320677975448
"3",1,1,3,0.00437459993470926
"3",3,1,3,0.00437459993470926
"3",4,1,3,0.00437459993470926
"3",5,1,6,0.00667809216414595
"3",6,1,6,0.00667809216414595
"3",7,1,6,0.00667809216414595
"3",8,1,6,0.00667809216414595
"3",9,1,6,0.00667809216414595
"3",10,1,9,-0.00062133990843088
"3",11,1,9,-0.00062133990843088
"3",12,1,9,-0.00062133990843088
"3",13,1,9,-0.00062133990843088
"3",14,1,9,-0.00062133990843088
"3",15,1,12,-0.00207834751794512
"3",16,1,12,-0.00207834751794512
"3",17,1,12,-0.00207834751794512
"3",18,1,12,-0.00207834751794512
"3",19,1,15,-0.0031732540522232
"3",20,1,15,-0.0031732540522232
"3",21,1,15,-0.0031732540522232
"3",23,1,18,-0.000518785877520478
"3",24,1,18,-0.000518785877520478
"3",25,1,21,0.00026618499452079
"3",26,1,21,0.00026618499452079
"3",27,1,24,0.000325274251649344
"3",28,1,3,0.00437459993470926
"3",29,1,3,0.00437459993470926
"3",30,1,3,0.00437459993470926
"3",2,0,9,-0.00062133990843088
"3",22,0,18,-0.000518785877520478
"4",1,1,3,-0.00811587190206473
"4",2,1,3,-0.00811587190206473
"4",3,1,3,-0.00811587190206473
"4",5,1,6,-0.00835091169108203
"4",6,1,6,-0.00835091169108203
"4",7,1,6,-0.00835091169108203
"4",8,1,6,-0.00835091169108203
"4",9,1,6,-0.00835091169108203
"4",10,1,9,-0.00678289778814239
"4",11,1,9,-0.00678289778814239
"4",12,1,9,-0.00678289778814239
"4",13,1,9,-0.00678289778814239
"4",14,1,9,-0.00678289778814239
"4",15,1,12,-0.00511398065343362
"4",16,1,12,-0.00511398065343362
"4",17,1,12,-0.00511398065343362
"4",18,1,12,-0.00511398065343362
"4",19,1,15,-0.0058174370952706
"4",20,1,15,-0.0058174370952706
"4",21,1,15,-0.0058174370952706
"4",22,1,18,-0.00483155882955678
"4",23,1,18,-0.00483155882955678
"4",24,1,21,-0.00553560632136234
"4",26,1,21,-0.00553560632136234
"4",27,1,24,-0.00516062619746678
"4",28,1,3,-0.00811587190206473
"4",29,1,3,-0.00811587190206473
"4",30,1,3,-0.00811587190206473
"4",4,0,6,-0.00835091169108203
"4",25,0,9,-0.00678289778814239
"5",1,1,3,-0.00173025329270143
"5",2,1,3,-0.00173025329270143
"5",3,1,3,-0.00173025329270143
"5",4,1,6,-0.00332459647860107
"5",5,1,6,-0.00332459647860107
"5",6,1,6,-0.00332459647860107
"5",7,1,6,-0.00332459647860107
"5",8,1,6,-0.00332459647860107
"5",10,1,9,-0.00228101418139306
"5",11,1,9,-0.00228101418139306
"5",12,1,9,-0.00228101418139306
"5",14,1,9,-0.00228101418139306
"5",15,1,9,-0.00228101418139306
"5",16,1,12,-0.00246922165648195
"5",17,1,12,-0.00246922165648195
"5",18,1,12,-0.00246922165648195
"5",19,1,12,-0.00246922165648195
"5",20,1,15,-0.00278768349239826
"5",21,1,15,-0.00278768349239826
"5",22,1,15,-0.00278768349239826
"5",23,1,18,-0.00268957425667852
"5",24,1,18,-0.00268957425667852
"5",26,1,21,-0.00208762593932723
"5",27,1,21,-0.00208762593932723
"5",28,1,24,-0.000589020682065523
"5",29,1,3,-0.00173025329270143
"5",9,0,15,-0.00278768349239826
"5",13,0,9,-0.00228101418139306
"5",25,0,3,-0.00173025329270143
"5",30,0,6,-0.00332459647860107
"6",1,1,3,-0.0019393254037016
"6",2,1,3,-0.0019393254037016
"6",3,1,3,-0.0019393254037016
"6",4,1,6,-0.00243419957549326
"6",5,1,6,-0.00243419957549326
"6",6,1,6,-0.00243419957549326
"6",7,1,6,-0.00243419957549326
"6",8,1,6,-0.00243419957549326
"6",9,1,9,-0.00515960551366171
"6",10,1,9,-0.00515960551366171
"6",11,1,9,-0.00515960551366171
"6",12,1,9,-0.00515960551366171
"6",13,1,9,-0.00515960551366171
"6",14,1,12,-0.00369371058531959
"6",15,1,12,-0.00369371058531959
"6",16,1,12,-0.00369371058531959
"6",17,1,12,-0.00369371058531959
"6",18,1,15,-0.0030816064997892
"6",19,1,15,-0.0030816064997892
"6",20,1,15,-0.0030816064997892
"6",21,1,18,-0.00149902949807311
"6",22,1,18,-0.00149902949807311
"6",23,1,21,-0.0020500438643978
"6",24,1,21,-0.0020500438643978
"6",25,1,24,-0.00211941085321397
"6",26,1,3,-0.0019393254037016
"6",27,1,3,-0.0019393254037016
"6",28,1,3,-0.0019393254037016
