"","ID","n.t","x1_sc","t","y_end","int","y"
"1",1,1,0.235552303892994,5,1,1,1
"2",2,1,-0.337623189579938,7,1,1,1
"3",3,1,1.48062644735481,1,1,1,1
"4",4,1,-0.639611586654975,1,1,1,1
"5",5,1,1.62684576159057,5,1,1,1
"6",6,1,-1.10984390029617,2,1,1,1
"7",7,1,-1.08620318053586,7,0,1,0
"8",8,1,-1.6814822623692,5,0,1,0
"9",9,1,1.26955111568175,4,1,1,1
"10",10,1,-1.31028874260205,6,0,1,0
"11",11,1,0.613325441245939,1,1,1,1
"12",12,1,1.45109222594139,3,1,1,1
"13",13,1,-1.00464730297415,10,0,1,0
"14",14,1,-0.969398890610276,6,1,1,1
"15",15,1,0.0809928651598078,1,1,1,1
"16",16,1,-0.877237635731874,5,1,1,1
"17",17,1,-0.623187517811743,10,1,1,1
"18",18,1,0.31626519167599,5,1,1,1
"19",19,1,0.196734735676571,3,1,1,1
"20",20,1,1.77681421016244,5,1,1,1
"21",21,1,1.28156387356175,9,1,1,1
"22",22,1,-1.7059100137451,9,0,1,0
"23",23,1,1.07684265494027,5,1,1,1
"24",24,1,-0.31200633300222,10,1,1,1
"25",25,1,-1.16511452465635,1,0,1,0
"26",26,1,0.438478783504021,4,1,1,1
"27",27,1,-0.153089888543538,7,1,1,1
"28",28,1,-1.53383154683504,2,0,1,0
"29",29,1,0.112948679993711,10,1,1,1
"30",30,1,0.794055745120727,2,1,1,1
"31",31,1,-0.496040363861631,3,1,1,1
"32",32,1,2.14252219988964,1,1,1,1
"33",33,1,-1.92756968853931,10,0,1,0
"34",34,1,0.96227601003111,2,1,1,1
"35",35,1,-1.67714923270465,1,0,1,0
"36",36,1,1.59911293329409,7,1,1,1
"37",37,1,0.0833912329254568,10,1,1,1
"38",38,1,-0.356312443475238,1,1,1,1
"39",39,1,-0.823513180765283,6,1,1,1
"40",40,1,-1.30590116413855,4,0,1,0
"41",41,1,1.78370487125777,10,1,1,1
"42",42,1,0.631386177973258,3,1,1,1
"43",43,1,-0.196406965366713,10,1,1,1
"44",44,1,1.8132019507267,6,1,1,1
"45",45,1,1.56531831385455,10,1,1,1
"46",46,1,2.15775855745156,5,1,1,1
"47",47,1,0.860187630714394,1,1,1,1
"48",48,1,0.642613944993614,3,1,1,1
"49",49,1,-0.502451552936781,9,0,1,0
"50",50,1,-0.898615788567214,3,1,1,1
"51",51,1,0.737432930946618,4,1,1,1
"52",52,1,0.980031775298843,2,1,1,1
"53",53,1,0.959276816431881,4,1,1,1
"54",54,1,0.118668006033121,9,1,1,1
"55",55,1,-0.791930637395347,6,1,1,1
"56",56,1,0.490868749375571,10,1,1,1
"57",57,1,-0.0796464748980454,2,1,1,1
"58",58,1,1.25629436941083,4,1,1,1
"59",59,1,0.241684441112865,7,1,1,1
"60",60,1,-0.756225702468102,10,1,1,1
"61",61,1,0.563861698587809,4,1,1,1
"62",62,1,0.330840684677333,8,1,1,1
"63",63,1,-0.158610788485485,10,1,1,1
"64",64,1,-0.827209075507524,5,0,1,0
"65",65,1,0.161777972631371,7,1,1,1
"66",66,1,0.284482694939797,2,1,1,1
"67",67,1,0.472651534728476,4,1,1,1
"68",68,1,-0.419734951175442,5,1,1,1
"69",69,1,1.43958761002889,10,1,1,1
"70",70,1,-1.46217096442522,6,0,1,0
"71",71,1,0.290303127719729,3,1,1,1
"72",72,1,0.877496684373109,2,1,1,1
"73",73,1,0.0229120445455553,1,1,1,1
"74",74,1,-0.969420096376465,4,0,1,0
"75",75,1,1.32376546516879,10,1,1,1
"76",76,1,0.784773917368864,9,1,1,1
"77",77,1,2.07485756160622,7,1,1,1
"78",78,1,-0.115599082242529,7,1,1,1
"79",79,1,-0.746016453759486,10,0,1,0
"80",80,2,0.210042243295654,1,1,1,1
"81",80,2,0.347649510507787,1,1,2,1
"82",81,2,0.376683805917339,10,1,1,1
"83",81,2,-0.450794174386254,10,1,2,1
"84",82,2,0.216101594044405,3,0,1,1
"85",82,2,-2.75496578294759,3,0,2,0
"86",83,2,0.290550720606145,4,1,1,1
"87",83,2,1.33381978935071,4,1,2,1
"88",84,2,0.398579897075176,2,1,1,1
"89",84,2,-1.00918600870679,2,1,2,1
"90",85,2,0.611120309691737,1,1,1,1
"91",85,2,-2.08992921353958,1,1,2,1
"92",86,2,0.0383821605228756,9,1,1,1
"93",86,2,0.553293835252723,9,1,2,1
"94",87,2,0.31106837147634,5,1,1,1
"95",87,2,0.522532536915732,5,1,2,1
"96",88,2,0.187639932848974,6,1,1,1
"97",88,2,-0.393404533494517,6,1,2,1
"98",89,2,0.167512388663855,9,1,1,1
"99",89,2,0.867090333709272,9,1,2,1
"100",90,2,0.243912726361577,1,1,1,1
"101",90,2,-0.476988339879971,1,1,2,1
"102",91,2,0.294094622805788,6,1,1,1
"103",91,2,-0.0527458712361742,6,1,2,1
"104",92,2,0.217863943764593,7,1,1,1
"105",92,2,1.46695035476599,7,1,2,1
"106",93,2,0.243241724641331,4,1,1,1
"107",93,2,-0.769300705997881,4,1,2,1
"108",94,2,0.298433260525879,7,0,1,1
"109",94,2,-1.23109461985048,7,0,2,0
"110",95,2,0.291987620508288,8,1,1,1
"111",95,2,0.463746618579363,8,1,2,1
"112",96,2,0.259118313811344,4,1,1,1
"113",96,2,0.82112655152645,4,1,2,1
"114",97,2,0.144164031490185,4,1,1,1
"115",97,2,1.34387229027021,4,1,2,1
"116",98,2,0.306336085717042,8,0,1,1
"117",98,2,-1.00090974838631,8,0,2,0
"118",99,2,0.192792701790615,7,0,1,1
"119",99,2,-1.45331152830495,7,0,2,0
"120",100,2,0.241642990317001,6,1,1,1
"121",100,2,-0.558855852334088,6,1,2,1
"122",101,2,0.208872367955864,9,1,1,1
"123",101,2,0.317500246093954,9,1,2,1
"124",102,2,0.352686527902629,5,1,1,1
"125",102,2,0.384023922880593,5,1,2,1
"126",103,2,0.324997974088631,5,1,1,1
"127",103,2,-0.682193202326519,5,1,2,1
"128",104,2,0.402035155777078,9,1,1,1
"129",104,2,-0.298688501471855,9,1,2,1
"130",105,2,0.375588515402459,10,1,1,1
"131",105,2,1.56084722271101,10,1,2,1
"132",106,2,0.105140755478501,5,1,1,1
"133",106,2,0.173842876919093,5,1,2,1
"134",107,2,0.535824616080666,6,1,1,1
"135",107,2,0.0563447510714198,6,1,2,1
"136",108,2,0.283602894872356,6,0,1,1
"137",108,2,-1.49553855295402,6,0,2,0
"138",109,2,0.369741711357144,8,1,1,1
"139",109,2,-0.191748348383442,8,1,2,1
"140",110,2,0.275650218159149,4,0,1,1
"141",110,2,-1.92364535391295,4,0,2,0
"142",111,2,0.451004988061867,8,1,1,1
"143",111,2,-0.372603415149885,8,1,2,1
"144",112,2,0.315627169460469,10,1,1,1
"145",112,2,-0.0463668559904839,10,1,2,1
"146",113,2,0.243470450886378,2,1,1,1
"147",113,2,0.528038771199466,2,1,2,1
"148",114,2,0.441110250067183,7,1,1,1
"149",114,2,1.17407885840458,7,1,2,1
"150",115,2,0.394388727111461,3,1,1,1
"151",115,2,-0.212372033334027,3,1,2,1
"152",116,2,0.332401973681001,8,0,1,1
"153",116,2,-1.69954247319901,8,0,2,0
"154",117,2,0.328020502685152,1,1,1,1
"155",117,2,1.08479699010317,1,1,2,1
"156",118,2,0.283506568908605,1,1,1,1
