"","Site","Year","Block","Trt","Plot","Tree_Number","Sp_code","Cond","DBH","CoreID","response","priorDBH","priorYear","PlotID","totalPlotBA_ha","priorBA","CanopyCover","meanVPD","maxVPD","meanSWA","minSWA"
"1","FV",2006,1,1,10,1,"PIPO",1,15.8,"FV_1_1_10_1","Live",15.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"2","FV",2011,1,1,10,1,"PIPO",1,16,"FV_1_1_10_1","Live",15.8,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"3","FV",2019,1,1,10,1,"PIPO",1,16.9,"FV_1_1_10_1","Live",16,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"4","FV",2006,1,1,10,10,"PIPO",1,2.7,"FV_1_1_10_10","Live",2.2,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"5","FV",2011,1,1,10,10,"PIPO",1,2.8,"FV_1_1_10_10","Live",2.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"6","FV",2019,1,1,10,10,"PIPO",1,3.6,"FV_1_1_10_10","Live",2.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"7","FV",2006,1,1,10,11,"PIPO",1,5.9,"FV_1_1_10_11","Live",4.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"8","FV",2011,1,1,10,11,"PIPO",1,6.5,"FV_1_1_10_11","Live",5.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"9","FV",2019,1,1,10,11,"PIPO",1,8.4,"FV_1_1_10_11","Live",6.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"10","FV",2006,1,1,10,12,"PIPO",1,1.5,"FV_1_1_10_12","Live",1.2,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"11","FV",2011,1,1,10,12,"PIPO",2,1.6,"FV_1_1_10_12","Live",1.5,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"12","FV",2019,1,1,10,12,"PIPO",1,1.4,"FV_1_1_10_12","Live",1.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"13","FV",2006,1,1,10,13,"PIPO",1,6.8,"FV_1_1_10_13","Live",6.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"14","FV",2011,1,1,10,13,"PIPO",1,7,"FV_1_1_10_13","Live",6.8,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"15","FV",2019,1,1,10,13,"PIPO",1,7.5,"FV_1_1_10_13","Live",7,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"16","FV",2006,1,1,10,14,"PIPO",1,1.3,"FV_1_1_10_14","Live",0.8,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"17","FV",2011,1,1,10,14,"PIPO",1,1.4,"FV_1_1_10_14","Live",1.3,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"18","FV",2019,1,1,10,14,"PIPO",1,2.3,"FV_1_1_10_14","Live",1.4,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"19","FV",2006,1,1,10,15,"PIPO",1,30.6,"FV_1_1_10_15","Live",28.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"20","FV",2011,1,1,10,15,"PIPO",1,31.8,"FV_1_1_10_15","Live",30.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
