"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","NestHt",-0.532343133146202,0.0818046248746871,0.399729715771497,0.720679341856291,1.37241353644202,"Model1_TotalExposure"
"2","NestOrientation",-0.648531798328295,-0.154742564361116,0.0800964104264002,0.306593943358685,0.746807307986296,"Model1_TotalExposure"
"3","InitDay",-3.58615588923265,-2.63440786603968,-2.22261192993441,-1.85443395818623,-1.26318893961296,"Model1_TotalExposure"
"4","LgTreeDens",-1.17419556586466,-0.597612730257279,-0.331847693397229,-0.082921040165562,0.399989588685587,"Model1_TotalExposure"
"5","SmTreeDens",-0.273812084684854,0.100233163217757,0.30447708482518,0.522419231967442,0.988360724250809,"Model1_TotalExposure"
"6","PercPonderosa",-2.24816355132109,-1.46659192328341,-1.11231733694967,-0.78862919740474,-0.210991544821084,"Model1_TotalExposure"
"7","Tmax",2.95808399471,4.03219704387518,4.71873282885275,5.49799408411373,7.35360632289694,"Model1_TotalExposure"
"8","Tmax^2",-2.00617471492202,-1.46369284642389,-1.21818494716055,-0.993315980055296,-0.605653184092802,"Model1_TotalExposure"
"9","PPT",1.88188164405695,2.81254902509402,3.39908457410871,4.03732116186418,5.56368550469161,"Model1_TotalExposure"
"10","PPT^2",-1.89202883672876,-1.37283839303929,-1.14488603915445,-0.93909243359604,-0.589605983318874,"Model1_TotalExposure"
"11","ForestCV",-0.657260584025598,-0.0698704277510686,0.229088004084871,0.535711627696968,1.1882975433408,"Model1_TotalExposure"
"12","Contagion",-1.32977079058889,-0.643764144211559,-0.315077268900754,0.0172370821545592,0.700611754007127,"Model1_TotalExposure"
"13","NumOpenPatch",-1.55457984166015,-0.829674781233628,-0.491847050324186,-0.165528703445284,0.469386432479398,"Model1_TotalExposure"
"14","PercHarvest",-1.32637608037386,-0.512030451538425,-0.105385548566257,0.307794995072826,1.15590446902211,"Model1_TotalExposure"
"15","PercBurn",-4.93880412644616,-3.27728287264648,-2.49194923772152,-1.78092818333874,-0.554358743355585,"Model1_TotalExposure"
"16","TreatmentType:Burn",-1.31905957046571,1.67541341872228,3.3500063665304,5.12811979892113,8.88321827151516,"Model1_TotalExposure"
"17","TreatmentType:Harvest",-0.833616480099087,0.62641780102403,1.41017388692423,2.2370552517721,4.01855752246782,"Model1_TotalExposure"
"18","TreatmentType:Harvest+Burn",2.10561589362926,5.41120004555498,7.39147661732115,9.56374461009376,14.1633132669234,"Model1_TotalExposure"
"19","NestTree:Abies",-23.5966028425297,-13.1677444899692,-8.81881522159146,-5.3270106666812,-0.25913993660447,"Model1_TotalExposure"
"20","NestTree:Aspen",0.658393886347879,2.43599408793061,3.47074235779621,4.61735567326747,7.24098876489102,"Model1_TotalExposure"
"21","NestTree:Juniper",-2.73864892725597,-1.06061220933518,-0.225852487798004,0.63571594989978,2.45309111899753,"Model1_TotalExposure"
"22","NestTree:DougFir",-3.63955243832147,-1.27672865368767,0.0523373507708274,1.53527278672801,4.9591932586408,"Model1_TotalExposure"
"23","Stage:Egg",-29.0526417827226,-20.6776099859916,-17.2315625586273,-14.3589644663685,-10.2522193101782,"Model1_TotalExposure"
