"","ID","n.t","x1_sc","y_end","int","y","t"
"1",1,1,0.420572050383909,0,1,0,8
"2",2,4,-0.179524714408032,0,1,1,6
"3",2,4,0.0642010926647764,0,2,1,2
"4",2,4,0.316251417817396,0,3,1,4
"5",2,4,-0.037356157127221,0,4,0,9
"6",3,3,0.292103610611416,1,1,1,2
"7",3,3,0.197405436193198,1,2,1,6
"8",3,3,-0.329952011626909,1,3,1,3
"9",4,1,-0.927137062652577,1,1,1,3
"10",5,2,-0.219448902056411,0,1,1,7
"11",5,2,-1.47235426350108,0,2,0,3
"12",6,1,-1.06960143727532,0,1,0,6
"13",7,3,0.0320084593629502,1,1,1,6
"14",7,3,0.0619768929097513,1,2,1,7
"15",7,3,0.957723350920457,1,3,1,10
"16",8,3,0.412715830072346,1,1,1,2
"17",8,3,0.395476384062983,1,2,1,10
"18",8,3,-0.626152484092497,1,3,1,1
"19",9,2,0.475841047589414,0,1,1,1
"20",9,2,-1.37169882344811,0,2,0,7
"21",10,2,0.368871407253,1,1,1,10
"22",10,2,1.80692251925117,1,2,1,7
"23",11,3,0.618985799186219,1,1,1,9
"24",11,3,0.286064155904026,1,2,1,3
"25",11,3,0.396064330599527,1,3,1,2
"26",12,3,0.0899573999226599,0,1,1,1
"27",12,3,0.256662911771637,0,2,1,10
"28",12,3,-0.252363788995474,0,3,0,1
"29",13,1,1.01482846605013,1,1,1,10
"30",14,1,0.84673924002655,1,1,1,8
"31",15,1,-0.624175543493497,1,1,1,9
"32",16,2,0.367808187155012,1,1,1,3
"33",16,2,2.13596071010852,1,2,1,8
"34",17,2,0.125314943598125,1,1,1,2
"35",17,2,-0.268365667806126,1,2,1,5
"36",18,2,-0.0746575737209418,1,1,1,8
"37",18,2,-1.41084185734916,1,2,1,4
"38",19,2,0.389097788842631,0,1,1,3
"39",19,2,-0.160291531810777,0,2,0,1
"40",20,3,0.114215124248313,0,1,1,6
"41",20,3,0.265620249989952,0,2,1,1
"42",20,3,0.183523646225331,0,3,0,6
"43",21,1,2.23548533779179,1,1,1,3
"44",22,3,0.114215244443684,0,1,1,1
"45",22,3,-0.301963424559339,0,2,1,6
"46",22,3,0.0841357513580187,0,3,0,2
"47",23,1,0.427226539716393,0,1,0,9
"48",24,1,-0.094596925055199,1,1,1,10
"49",25,1,-0.345516756486607,0,1,0,7
"50",26,1,-0.0531492353002796,0,1,0,10
"51",27,2,0.556925976047609,1,1,1,2
"52",27,2,0.750236116932798,1,2,1,1
"53",28,1,2.00812345748989,1,1,1,1
"54",29,1,0.984455430515687,1,1,1,2
"55",30,2,-0.0871453946935283,1,1,1,3
"56",30,2,1.16080506359835,1,2,1,2
"57",31,2,0.432631200202467,1,1,1,8
"58",31,2,-1.22212904011931,1,2,1,6
"59",32,2,-0.315670235869678,0,1,1,7
"60",32,2,0.941962473918694,0,2,0,6
"61",33,1,0.195624229806339,1,1,1,2
"62",34,4,0.525306169016498,0,1,1,9
"63",34,4,0.133956532644981,0,2,1,7
"64",34,4,0.40157994974768,0,3,1,2
"65",34,4,-1.45261043777522,0,4,0,8
