"","ID","interval","fate","predictor"
"1",2,2,0,9
"2",3,2,0,14
"3",5,2,0,7
"4",6,2,0,10
"5",7,2,0,7
"6",10,2,0,10
"7",13,2,0,9
"8",14,1,0,9
"9",15,3,0,6
"10",16,2,0,9
"11",17,2,0,9
"12",18,3,0,8
"13",20,3,0,9
"14",22,3,0,4
"15",23,2,0,8
"16",24,1,0,7
"17",26,2,0,4
"18",29,2,0,15
"19",31,3,0,5
"20",33,2,0,5
"21",37,2,0,5
"22",41,2,0,8
"23",42,2,0,7
"24",44,3,0,6
"25",46,2,0,11
"26",47,2,0,8
"27",48,3,0,7
"28",49,2,0,12
"29",50,3,0,9
"30",52,2,0,6
"31",54,2,0,6
"32",58,2,0,1
"33",59,3,0,9
"34",60,2,0,8
"35",61,3,0,12
"36",63,3,0,5
"37",64,2,0,5
"38",65,2,0,11
"39",66,2,0,10
"40",68,3,0,16
"41",70,3,0,7
"42",73,3,0,5
"43",76,2,0,4
"44",77,2,0,3
"45",79,2,0,11
"46",83,3,0,10
"47",86,2,0,10
"48",88,2,0,13
"49",89,2,0,6
"50",92,3,0,11
"51",93,3,0,11
"52",94,3,0,11
"53",99,2,0,12
"54",101,2,0,7
"55",103,2,0,11
"56",104,2,0,8
"57",105,2,0,4
"58",106,3,0,9
"59",110,3,0,5
"60",111,2,0,10
"61",112,2,0,2
"62",115,2,0,4
"63",116,2,0,12
"64",118,2,0,9
"65",120,2,0,15
"66",122,3,0,8
"67",125,2,0,9
"68",126,3,0,6
"69",127,2,0,11
"70",128,2,0,6
"71",135,2,0,4
"72",136,1,0,7
"73",138,2,0,5
"74",143,1,0,7
"75",147,3,0,9
"76",148,2,0,6
"77",149,2,0,11
"78",151,2,0,12
"79",155,2,0,9
"80",159,2,0,12
"81",161,2,0,9
"82",162,2,0,7
"83",163,3,0,6
"84",168,2,0,14
"85",174,2,0,14
"86",175,2,0,12
"87",177,3,0,13
"88",179,3,0,8
"89",180,3,0,6
"90",181,2,0,8
"91",183,2,0,6
"92",184,2,0,15
"93",187,3,0,5
"94",188,2,0,6
"95",190,2,0,5
"96",192,2,0,6
"97",193,2,0,9
"98",196,2,0,7
"99",197,3,0,5
"100",199,2,0,5
"101",200,2,0,13
"102",203,3,0,13
"103",206,3,0,7
"104",207,3,0,7
"105",209,2,0,10
"106",211,2,0,9
"107",213,2,0,7
"108",214,2,0,13
"109",215,3,0,6
"110",216,3,0,6
"111",217,2,0,10
"112",220,2,0,8
"113",221,1,0,7
"114",222,2,0,9
"115",224,2,0,10
"116",225,2,0,8
"117",229,2,0,6
"118",230,2,0,11
"119",233,2,0,3
"120",234,3,0,9
"121",236,2,0,10
"122",239,3,0,6
"123",241,3,0,6
"124",244,2,0,7
"125",245,3,0,7
"126",246,1,0,5
"127",248,2,0,5
"128",251,2,0,10
"129",253,2,0,6
"130",254,2,0,5
"131",256,3,0,11
"132",257,1,0,8
"133",258,3,0,12
"134",259,2,0,5
"135",260,2,0,11
"136",261,3,0,7
"137",262,2,0,11
"138",263,2,0,4
"139",264,3,0,10
"140",266,2,0,13
"141",267,2,0,10
"142",268,2,0,11
"143",270,2,0,10
"144",271,2,0,8
"145",272,2,0,8
"146",273,2,0,9
"147",274,4,0,13
"148",275,2,0,6
"149",276,3,0,6
"150",277,1,0,9
"151",280,3,0,8
"152",281,2,0,6
"153",283,3,0,5
"154",284,2,0,13
"155",285,2,0,11
"156",287,2,0,11
"157",289,2,0,8
"158",290,3,0,8
"159",293,2,0,10
"160",294,2,0,9
"161",295,3,0,9
"162",297,3,0,6
"163",300,2,0,8
"164",302,2,0,6
"165",303,3,0,6
"166",304,2,0,12
"167",305,3,0,7
"168",306,3,0,9
"169",307,2,0,15
"170",308,3,0,12
"171",311,3,0,9
"172",313,2,0,5
"173",315,2,0,13
"174",316,3,0,8
"175",317,2,0,7
"176",318,2,0,10
"177",320,2,0,7
"178",323,3,0,6
"179",324,1,0,12
"180",325,2,0,4
"181",328,2,0,9
"182",329,2,0,8
"183",330,3,0,7
"184",332,1,0,5
"185",336,3,0,12
"186",346,2,0,8
"187",348,2,0,9
"188",350,3,0,16
"189",353,2,0,10
"190",355,3,0,6
"191",357,2,0,10
"192",359,1,0,8
"193",360,2,0,11
"194",361,1,0,8
"195",363,2,0,2
"196",366,3,0,10
"197",367,3,0,7
"198",370,2,0,7
"199",371,2,0,14
"200",372,2,0,10
"201",373,2,0,6
"202",375,2,0,9
"203",380,3,0,9
"204",382,3,0,8
"205",383,2,0,7
"206",385,3,0,6
"207",386,2,0,13
"208",388,2,0,10
"209",389,1,0,15
"210",390,2,0,9
"211",391,3,0,10
"212",392,3,0,8
"213",393,3,0,10
"214",394,2,0,7
"215",396,2,0,6
"216",397,3,0,8
"217",398,2,0,13
"218",399,2,0,10
"219",400,3,0,17
"220",401,3,0,14
"221",402,3,0,6
"222",403,2,0,4
"223",406,2,0,12
"224",407,2,0,3
"225",408,2,0,10
"226",410,2,0,9
"227",413,3,0,9
"228",414,2,0,10
"229",416,3,0,6
"230",417,3,0,6
"231",423,2,0,6
"232",424,1,0,8
"233",427,1,0,15
"234",429,2,0,13
"235",432,3,0,7
"236",434,2,0,10
"237",435,3,0,9
"238",436,2,0,17
"239",437,3,0,7
"240",441,2,0,5
"241",446,1,0,14
"242",447,2,0,8
"243",449,2,0,9
"244",450,1,0,8
"245",451,3,0,8
"246",452,2,0,9
"247",453,2,0,7
"248",458,1,0,11
"249",460,3,0,12
"250",461,2,0,7
"251",462,3,0,5
"252",463,3,0,10
"253",464,3,0,9
"254",466,2,0,13
"255",467,2,0,9
"256",469,3,0,8
"257",470,3,0,6
"258",473,2,0,10
"259",474,2,0,9
"260",475,3,0,7
"261",476,2,0,9
"262",477,2,0,13
"263",478,2,0,4
"264",479,3,0,9
"265",480,2,0,13
"266",484,2,0,7
"267",485,3,0,7
"268",486,3,0,6
"269",491,2,0,7
"270",493,2,0,8
"271",494,2,0,8
"272",495,4,0,9
"273",496,2,0,11
"274",497,2,0,10
"275",498,2,0,9
"276",500,2,0,14
"277",1,2,1,10
"278",4,3,1,9
"279",8,3,1,6
"280",9,3,1,10
"281",11,3,1,11
"282",12,2,1,10
"283",19,3,1,18
"284",21,3,1,13
"285",25,3,1,8
"286",27,2,1,8
"287",28,2,1,12
"288",30,2,1,13
"289",32,2,1,12
"290",34,2,1,8
"291",35,2,1,11
"292",36,2,1,15
"293",38,2,1,7
"294",39,3,1,13
"295",40,3,1,7
"296",43,3,1,10
"297",45,2,1,9
"298",51,2,1,8
"299",53,2,1,14
"300",55,3,1,10
"301",56,3,1,6
"302",57,2,1,10
"303",62,2,1,6
"304",67,1,1,6
"305",69,2,1,8
"306",71,2,1,15
"307",72,2,1,9
"308",74,2,1,12
"309",75,2,1,11
"310",78,2,1,11
"311",80,2,1,10
"312",81,2,1,14
"313",82,2,1,9
"314",84,1,1,7
"315",85,3,1,12
"316",87,3,1,10
"317",90,2,1,14
"318",91,2,1,6
"319",95,3,1,9
"320",96,3,1,9
"321",97,2,1,11
"322",98,2,1,11
"323",100,2,1,12
"324",102,2,1,12
"325",107,3,1,12
"326",108,3,1,13
"327",109,2,1,14
"328",113,3,1,8
"329",114,2,1,6
"330",117,2,1,8
"331",119,2,1,12
"332",121,2,1,6
"333",123,2,1,8
"334",124,2,1,12
"335",129,2,1,13
"336",130,2,1,11
"337",131,2,1,16
"338",132,2,1,18
"339",133,3,1,8
"340",134,1,1,8
"341",137,2,1,6
"342",139,2,1,9
"343",140,2,1,11
"344",141,1,1,11
"345",142,3,1,7
"346",144,2,1,8
"347",145,2,1,7
"348",146,2,1,3
"349",150,1,1,14
"350",152,2,1,11
"351",153,2,1,15
"352",154,2,1,12
"353",156,2,1,4
"354",157,3,1,14
"355",158,2,1,11
"356",160,3,1,11
"357",164,3,1,9
"358",165,2,1,13
"359",166,3,1,15
"360",167,2,1,16
"361",169,2,1,5
"362",170,2,1,10
"363",171,3,1,8
"364",172,2,1,3
"365",173,2,1,9
"366",176,2,1,9
"367",178,3,1,14
"368",182,3,1,12
"369",185,3,1,19
"370",186,2,1,14
"371",189,2,1,6
"372",191,2,1,11
"373",194,3,1,9
"374",195,2,1,14
"375",198,2,1,9
"376",201,2,1,13
"377",202,3,1,11
"378",204,2,1,12
"379",205,1,1,14
"380",208,3,1,10
"381",210,3,1,12
"382",212,2,1,9
"383",218,2,1,9
"384",219,3,1,10
"385",223,2,1,9
"386",226,3,1,10
"387",227,2,1,16
"388",228,1,1,12
"389",231,2,1,6
"390",232,1,1,11
"391",235,2,1,13
"392",237,3,1,7
"393",238,2,1,8
"394",240,2,1,5
"395",242,3,1,10
"396",243,2,1,14
"397",247,2,1,8
"398",249,2,1,7
"399",250,3,1,8
"400",252,2,1,11
"401",255,3,1,7
"402",265,3,1,7
"403",269,2,1,13
"404",278,3,1,6
"405",279,2,1,8
"406",282,2,1,10
"407",286,2,1,6
"408",288,3,1,13
"409",291,2,1,14
"410",292,2,1,6
"411",296,2,1,11
"412",298,3,1,7
"413",299,2,1,7
"414",301,3,1,10
"415",309,2,1,7
"416",310,2,1,11
"417",312,2,1,12
"418",314,2,1,9
"419",319,2,1,9
"420",321,3,1,12
"421",322,3,1,22
"422",326,2,1,8
"423",327,2,1,14
"424",331,2,1,15
"425",333,2,1,14
"426",334,3,1,14
"427",335,2,1,9
"428",337,3,1,12
"429",338,2,1,13
"430",339,2,1,9
"431",340,2,1,9
"432",341,3,1,14
"433",342,2,1,7
"434",343,2,1,7
"435",344,2,1,7
"436",345,1,1,6
"437",347,3,1,7
"438",349,3,1,12
"439",351,3,1,8
"440",352,3,1,12
"441",354,2,1,6
"442",356,3,1,13
"443",358,2,1,6
"444",362,3,1,12
"445",364,2,1,9
"446",365,2,1,13
"447",368,3,1,11
"448",369,2,1,14
"449",374,2,1,11
"450",376,2,1,13
"451",377,2,1,9
"452",378,2,1,13
"453",379,2,1,10
"454",381,3,1,9
"455",384,2,1,11
"456",387,1,1,10
"457",395,2,1,11
"458",404,2,1,13
"459",405,2,1,9
"460",409,3,1,9
"461",411,2,1,9
"462",412,3,1,13
"463",415,2,1,16
"464",418,2,1,13
"465",419,2,1,13
"466",420,3,1,15
"467",421,3,1,8
"468",422,2,1,16
"469",425,3,1,6
"470",426,3,1,1
"471",428,2,1,12
"472",430,2,1,14
"473",431,1,1,9
"474",433,1,1,6
"475",438,2,1,7
"476",439,2,1,8
"477",440,3,1,13
"478",442,3,1,4
"479",443,2,1,11
"480",444,3,1,5
"481",445,2,1,12
"482",448,2,1,16
"483",454,1,1,6
"484",455,2,1,14
"485",456,2,1,10
"486",457,3,1,12
"487",459,2,1,9
"488",465,2,1,13
"489",468,3,1,8
"490",471,2,1,9
"491",472,1,1,13
"492",481,2,1,4
"493",482,2,1,10
"494",483,2,1,18
"495",487,2,1,4
"496",488,2,1,4
"497",489,1,1,13
"498",490,3,1,10
"499",492,3,1,10
"500",499,2,1,10
"501",1,1,1,10
"502",2,1,1,5
"503",3,1,1,10
"504",4,1,1,8
"505",4,2,1,9
"506",5,1,1,9
"507",6,1,1,15
"508",7,1,1,7
"509",8,1,1,17
"510",8,2,1,10
"511",9,1,1,6
"512",9,2,1,6
"513",10,1,1,3
"514",11,1,1,13
"515",11,2,1,14
"516",12,1,1,10
"517",13,1,1,3
"518",15,1,1,5
"519",15,2,1,12
"520",16,1,1,14
"521",17,1,1,8
"522",18,1,1,7
"523",18,2,1,6
"524",19,1,1,5
"525",19,2,1,12
"526",20,1,1,13
"527",20,2,1,7
"528",21,1,1,15
"529",21,2,1,12
"530",22,1,1,10
"531",22,2,1,11
"532",23,1,1,8
"533",25,1,1,8
"534",25,2,1,8
"535",26,1,1,10
"536",27,1,1,10
"537",28,1,1,12
"538",29,1,1,8
"539",30,1,1,7
"540",31,1,1,10
"541",31,2,1,10
"542",32,1,1,11
"543",33,1,1,9
"544",34,1,1,9
"545",35,1,1,7
"546",36,1,1,7
"547",37,1,1,7
"548",38,1,1,9
"549",39,1,1,14
"550",39,2,1,7
"551",40,1,1,14
"552",40,2,1,11
"553",41,1,1,10
"554",42,1,1,9
"555",43,1,1,7
"556",43,2,1,5
"557",44,1,1,10
"558",44,2,1,9
"559",45,1,1,15
"560",46,1,1,8
"561",47,1,1,7
"562",48,1,1,12
"563",48,2,1,7
"564",49,1,1,12
"565",50,1,1,10
"566",50,2,1,9
"567",51,1,1,11
"568",52,1,1,14
"569",53,1,1,12
"570",54,1,1,9
"571",55,1,1,10
"572",55,2,1,5
"573",56,1,1,17
"574",56,2,1,11
"575",57,1,1,6
"576",58,1,1,7
"577",59,1,1,6
"578",59,2,1,16
"579",60,1,1,11
"580",61,1,1,4
"581",61,2,1,9
"582",62,1,1,2
"583",63,1,1,10
"584",63,2,1,10
"585",64,1,1,12
"586",65,1,1,7
"587",66,1,1,7
"588",68,1,1,12
"589",68,2,1,8
"590",69,1,1,7
"591",70,1,1,7
"592",70,2,1,9
"593",71,1,1,8
"594",72,1,1,13
"595",73,1,1,9
"596",73,2,1,11
"597",74,1,1,10
"598",75,1,1,9
"599",76,1,1,10
"600",77,1,1,13
"601",78,1,1,8
"602",79,1,1,14
"603",80,1,1,12
"604",81,1,1,9
"605",82,1,1,10
"606",83,1,1,15
"607",83,2,1,5
"608",85,1,1,6
"609",85,2,1,14
"610",86,1,1,11
"611",87,1,1,11
"612",87,2,1,16
"613",88,1,1,10
"614",89,1,1,10
"615",90,1,1,8
"616",91,1,1,12
"617",92,1,1,11
"618",92,2,1,10
"619",93,1,1,7
"620",93,2,1,9
"621",94,1,1,13
"622",94,2,1,11
"623",95,1,1,9
"624",95,2,1,10
"625",96,1,1,13
"626",96,2,1,6
"627",97,1,1,8
"628",98,1,1,5
"629",99,1,1,9
"630",100,1,1,15
"631",101,1,1,9
"632",102,1,1,15
"633",103,1,1,10
"634",104,1,1,18
"635",105,1,1,9
"636",106,1,1,22
"637",106,2,1,9
"638",107,1,1,5
"639",107,2,1,10
"640",108,1,1,12
"641",108,2,1,8
"642",109,1,1,18
"643",110,1,1,10
"644",110,2,1,10
"645",111,1,1,2
"646",112,1,1,9
"647",113,1,1,12
"648",113,2,1,15
"649",114,1,1,9
"650",115,1,1,11
"651",116,1,1,10
"652",117,1,1,6
"653",118,1,1,10
"654",119,1,1,10
"655",120,1,1,11
"656",121,1,1,16
"657",122,1,1,10
"658",122,2,1,10
"659",123,1,1,10
"660",124,1,1,6
"661",125,1,1,8
"662",126,1,1,11
"663",126,2,1,9
"664",127,1,1,12
"665",128,1,1,7
"666",129,1,1,8
"667",130,1,1,7
"668",131,1,1,12
"669",132,1,1,12
"670",133,1,1,8
"671",133,2,1,15
"672",135,1,1,9
"673",137,1,1,6
"674",138,1,1,9
"675",139,1,1,10
"676",140,1,1,15
"677",142,1,1,19
"678",142,2,1,9
"679",144,1,1,12
"680",145,1,1,8
"681",146,1,1,6
"682",147,1,1,13
"683",147,2,1,8
"684",148,1,1,12
"685",149,1,1,10
"686",151,1,1,15
"687",152,1,1,12
"688",153,1,1,8
"689",154,1,1,9
"690",155,1,1,9
"691",156,1,1,3
"692",157,1,1,13
"693",157,2,1,6
"694",158,1,1,11
"695",159,1,1,10
"696",160,1,1,6
"697",160,2,1,8
"698",161,1,1,6
"699",162,1,1,11
"700",163,1,1,7
"701",163,2,1,10
"702",164,1,1,12
"703",164,2,1,11
"704",165,1,1,5
"705",166,1,1,8
"706",166,2,1,9
"707",167,1,1,4
"708",168,1,1,7
"709",169,1,1,8
"710",170,1,1,12
"711",171,1,1,12
"712",171,2,1,7
"713",172,1,1,14
"714",173,1,1,9
"715",174,1,1,7
"716",175,1,1,15
"717",176,1,1,11
"718",177,1,1,6
"719",177,2,1,14
"720",178,1,1,14
"721",178,2,1,3
"722",179,1,1,13
"723",179,2,1,12
"724",180,1,1,8
"725",180,2,1,7
"726",181,1,1,10
"727",182,1,1,14
"728",182,2,1,13
"729",183,1,1,11
"730",184,1,1,8
"731",185,1,1,13
"732",185,2,1,12
"733",186,1,1,8
"734",187,1,1,8
"735",187,2,1,9
"736",188,1,1,9
"737",189,1,1,11
"738",190,1,1,12
"739",191,1,1,10
"740",192,1,1,4
"741",193,1,1,19
"742",194,1,1,9
"743",194,2,1,15
"744",195,1,1,13
"745",196,1,1,12
"746",197,1,1,13
"747",197,2,1,13
"748",198,1,1,7
"749",199,1,1,9
"750",200,1,1,16
"751",201,1,1,9
"752",202,1,1,8
"753",202,2,1,16
"754",203,1,1,11
"755",203,2,1,16
"756",204,1,1,11
"757",206,1,1,11
"758",206,2,1,13
"759",207,1,1,9
"760",207,2,1,10
"761",208,1,1,8
"762",208,2,1,17
"763",209,1,1,2
"764",210,1,1,9
"765",210,2,1,9
"766",211,1,1,12
"767",212,1,1,14
"768",213,1,1,4
"769",214,1,1,11
"770",215,1,1,10
"771",215,2,1,10
"772",216,1,1,8
"773",216,2,1,11
"774",217,1,1,8
"775",218,1,1,10
"776",219,1,1,8
"777",219,2,1,9
"778",220,1,1,6
"779",222,1,1,7
"780",223,1,1,12
"781",224,1,1,7
"782",225,1,1,12
"783",226,1,1,11
"784",226,2,1,8
"785",227,1,1,8
"786",229,1,1,4
"787",230,1,1,9
"788",231,1,1,4
"789",233,1,1,4
"790",234,1,1,11
"791",234,2,1,7
"792",235,1,1,9
"793",236,1,1,9
"794",237,1,1,5
"795",237,2,1,5
"796",238,1,1,17
"797",239,1,1,14
"798",239,2,1,7
"799",240,1,1,10
"800",241,1,1,6
"801",241,2,1,9
"802",242,1,1,8
"803",242,2,1,11
"804",243,1,1,14
"805",244,1,1,14
"806",245,1,1,10
"807",245,2,1,7
"808",247,1,1,7
"809",248,1,1,8
"810",249,1,1,6
"811",250,1,1,15
"812",250,2,1,6
"813",251,1,1,10
"814",252,1,1,11
"815",253,1,1,10
"816",254,1,1,9
"817",255,1,1,16
"818",255,2,1,10
"819",256,1,1,10
"820",256,2,1,13
"821",258,1,1,14
"822",258,2,1,11
"823",259,1,1,13
"824",260,1,1,9
"825",261,1,1,11
"826",261,2,1,13
"827",262,1,1,21
"828",263,1,1,9
"829",264,1,1,12
"830",264,2,1,8
"831",265,1,1,11
"832",265,2,1,7
"833",266,1,1,6
"834",267,1,1,10
"835",268,1,1,6
"836",269,1,1,7
"837",270,1,1,11
"838",271,1,1,8
"839",272,1,1,14
"840",273,1,1,10
"841",274,1,1,10
"842",274,2,1,9
"843",274,3,1,9
"844",275,1,1,9
"845",276,1,1,13
"846",276,2,1,5
"847",278,1,1,13
"848",278,2,1,7
"849",279,1,1,9
"850",280,1,1,7
"851",280,2,1,7
"852",281,1,1,7
"853",282,1,1,13
"854",283,1,1,12
"855",283,2,1,15
"856",284,1,1,13
"857",285,1,1,10
"858",286,1,1,9
"859",287,1,1,17
"860",288,1,1,13
"861",288,2,1,6
"862",289,1,1,13
"863",290,1,1,8
"864",290,2,1,13
"865",291,1,1,10
"866",292,1,1,13
"867",293,1,1,8
"868",294,1,1,7
"869",295,1,1,16
"870",295,2,1,7
"871",296,1,1,14
"872",297,1,1,10
"873",297,2,1,7
"874",298,1,1,9
"875",298,2,1,8
"876",299,1,1,10
"877",300,1,1,9
"878",301,1,1,12
"879",301,2,1,12
"880",302,1,1,10
"881",303,1,1,13
"882",303,2,1,9
"883",304,1,1,12
"884",305,1,1,9
"885",305,2,1,7
"886",306,1,1,9
"887",306,2,1,13
"888",307,1,1,12
"889",308,1,1,13
"890",308,2,1,7
"891",309,1,1,6
"892",310,1,1,6
"893",311,1,1,12
"894",311,2,1,12
"895",312,1,1,7
"896",313,1,1,10
"897",314,1,1,6
"898",315,1,1,10
"899",316,1,1,13
"900",316,2,1,9
"901",317,1,1,10
"902",318,1,1,6
"903",319,1,1,7
"904",320,1,1,11
"905",321,1,1,11
"906",321,2,1,6
"907",322,1,1,10
"908",322,2,1,8
"909",323,1,1,12
"910",323,2,1,8
"911",325,1,1,9
"912",326,1,1,10
"913",327,1,1,13
"914",328,1,1,14
"915",329,1,1,14
"916",330,1,1,13
"917",330,2,1,11
"918",331,1,1,15
"919",333,1,1,16
"920",334,1,1,14
"921",334,2,1,9
"922",335,1,1,6
"923",336,1,1,10
"924",336,2,1,8
"925",337,1,1,9
"926",337,2,1,9
"927",338,1,1,7
"928",339,1,1,13
"929",340,1,1,12
"930",341,1,1,10
"931",341,2,1,16
"932",342,1,1,9
"933",343,1,1,14
"934",344,1,1,14
"935",346,1,1,10
"936",347,1,1,16
"937",347,2,1,17
"938",348,1,1,9
"939",349,1,1,10
"940",349,2,1,14
"941",350,1,1,15
"942",350,2,1,10
"943",351,1,1,10
"944",351,2,1,10
"945",352,1,1,14
"946",352,2,1,12
"947",353,1,1,14
"948",354,1,1,9
"949",355,1,1,11
"950",355,2,1,11
"951",356,1,1,10
"952",356,2,1,12
"953",357,1,1,9
"954",358,1,1,4
"955",360,1,1,17
"956",362,1,1,11
"957",362,2,1,11
"958",363,1,1,11
"959",364,1,1,8
"960",365,1,1,4
"961",366,1,1,8
"962",366,2,1,10
"963",367,1,1,10
"964",367,2,1,12
"965",368,1,1,11
"966",368,2,1,12
"967",369,1,1,10
"968",370,1,1,7
"969",371,1,1,9
"970",372,1,1,5
"971",373,1,1,13
"972",374,1,1,14
"973",375,1,1,10
"974",376,1,1,8
"975",377,1,1,15
"976",378,1,1,10
"977",379,1,1,9
