"","ID","interval","fate","predictor"
"1",4,3,0,13
"2",13,2,0,9
"3",19,3,0,6
"4",42,2,0,11
"5",43,3,0,14
"6",47,2,0,12
"7",49,2,0,6
"8",56,3,0,14
"9",67,1,0,7
"10",69,2,0,9
"11",75,2,0,8
"12",76,2,0,10
"13",82,2,0,9
"14",83,3,0,6
"15",88,2,0,9
"16",92,3,0,8
"17",95,3,0,6
"18",97,2,0,1
"19",103,2,0,8
"20",105,2,0,10
"21",115,2,0,6
"22",126,3,0,5
"23",140,2,0,5
"24",152,2,0,7
"25",160,3,0,5
"26",162,2,0,6
"27",163,3,0,2
"28",166,3,0,9
"29",171,3,0,5
"30",172,2,0,2
"31",173,2,0,6
"32",174,2,0,6
"33",176,2,0,4
"34",179,3,0,12
"35",196,2,0,7
"36",197,3,0,9
"37",198,2,0,11
"38",199,2,0,2
"39",200,2,0,11
"40",201,2,0,8
"41",204,2,0,8
"42",206,3,0,8
"43",218,2,0,4
"44",221,1,0,6
"45",233,2,0,5
"46",237,3,0,14
"47",242,3,0,9
"48",243,2,0,7
"49",248,2,0,9
"50",254,2,0,7
"51",255,3,0,6
"52",258,3,0,11
"53",277,1,0,14
"54",278,3,0,3
"55",279,2,0,4
"56",291,2,0,5
"57",293,2,0,8
"58",294,2,0,8
"59",296,2,0,4
"60",297,3,0,9
"61",298,3,0,9
"62",299,2,0,10
"63",302,2,0,5
"64",313,2,0,10
"65",314,2,0,11
"66",315,2,0,13
"67",319,2,0,7
"68",322,3,0,4
"69",339,2,0,4
"70",341,3,0,10
"71",342,2,0,8
"72",344,2,0,6
"73",345,1,0,12
"74",346,2,0,16
"75",349,3,0,11
"76",350,3,0,7
"77",356,3,0,7
"78",360,2,0,11
"79",364,2,0,9
"80",369,2,0,9
"81",375,2,0,8
"82",379,2,0,6
"83",382,3,0,11
"84",389,1,0,9
"85",394,2,0,8
"86",401,3,0,2
"87",402,3,0,10
"88",404,2,0,12
"89",405,2,0,9
"90",407,2,0,8
"91",411,2,0,7
"92",413,3,0,6
"93",414,2,0,8
"94",416,3,0,11
"95",421,3,0,12
"96",437,3,0,8
"97",438,2,0,9
"98",443,2,0,8
"99",453,2,0,9
"100",455,2,0,5
"101",456,2,0,7
"102",465,2,0,7
"103",467,2,0,8
"104",475,3,0,12
"105",479,3,0,9
"106",480,2,0,9
"107",486,3,0,4
