"","ID","interval","fate","predictor"
"1",2,4,0,9
"2",3,3,0,14
"3",5,4,0,7
"4",6,3,0,10
"5",7,4,0,7
"6",10,4,0,10
"7",13,3,0,9
"8",14,2,0,9
"9",15,5,0,6
"10",16,4,0,9
"11",17,4,0,9
"12",18,5,0,8
"13",20,5,0,9
"14",22,5,0,4
"15",23,4,0,8
"16",24,2,0,7
"17",26,4,0,4
"18",29,4,0,15
"19",31,5,0,5
"20",33,4,0,5
"21",37,4,0,5
"22",41,4,0,8
"23",42,4,0,7
"24",44,5,0,6
"25",46,3,0,11
"26",47,4,0,8
"27",48,5,0,7
"28",49,4,0,12
"29",50,5,0,9
"30",52,3,0,6
"31",54,3,0,6
"32",58,3,0,1
"33",59,5,0,9
"34",60,4,0,8
"35",61,6,0,12
"36",63,5,0,5
"37",64,4,0,5
"38",65,3,0,11
"39",66,4,0,10
"40",68,5,0,16
"41",70,6,0,7
"42",73,5,0,5
"43",76,4,0,4
"44",77,4,0,3
"45",79,4,0,11
"46",83,5,0,10
"47",86,4,0,10
"48",88,4,0,13
"49",89,4,0,6
"50",92,5,0,11
"51",93,5,0,11
"52",94,5,0,11
"53",99,3,0,12
"54",101,3,0,7
"55",103,3,0,11
"56",104,4,0,8
"57",105,3,0,4
"58",106,6,0,9
"59",110,6,0,5
"60",111,3,0,10
"61",112,4,0,2
"62",115,4,0,4
"63",116,4,0,12
"64",118,4,0,9
"65",120,4,0,15
"66",122,5,0,8
"67",125,4,0,9
"68",126,5,0,6
"69",127,4,0,11
"70",128,4,0,6
"71",135,4,0,4
"72",136,2,0,7
"73",138,3,0,5
"74",143,2,0,7
"75",147,6,0,9
"76",148,4,0,6
"77",149,3,0,11
"78",151,4,0,12
"79",155,3,0,9
"80",159,3,0,12
"81",161,4,0,9
"82",162,4,0,7
"83",163,5,0,6
"84",168,3,0,14
"85",174,4,0,14
"86",175,4,0,12
"87",177,5,0,13
"88",179,5,0,8
"89",180,5,0,6
"90",181,3,0,8
"91",183,4,0,6
"92",184,3,0,15
"93",187,5,0,5
"94",188,3,0,6
"95",190,3,0,5
"96",192,4,0,6
"97",193,3,0,9
"98",196,3,0,7
"99",197,5,0,5
"100",199,4,0,5
"101",200,4,0,13
"102",203,6,0,13
"103",206,6,0,7
"104",207,5,0,7
"105",209,4,0,10
"106",211,4,0,9
"107",213,4,0,7
"108",214,3,0,13
"109",215,5,0,6
"110",216,6,0,6
"111",217,4,0,10
"112",220,4,0,8
"113",221,2,0,7
"114",222,4,0,9
"115",224,4,0,10
"116",225,3,0,8
"117",229,4,0,6
"118",230,4,0,11
"119",233,3,0,3
"120",234,5,0,9
"121",236,4,0,10
"122",239,5,0,6
"123",241,5,0,6
"124",244,3,0,7
"125",245,5,0,7
"126",246,2,0,5
"127",248,4,0,5
"128",251,4,0,10
"129",253,4,0,6
"130",254,4,0,5
"131",256,5,0,11
"132",257,2,0,8
"133",258,5,0,12
"134",259,4,0,5
"135",260,4,0,11
"136",261,5,0,7
"137",262,4,0,11
"138",263,4,0,4
"139",264,5,0,10
"140",266,4,0,13
"141",267,4,0,10
"142",268,3,0,11
"143",270,3,0,10
"144",271,4,0,8
"145",272,4,0,8
"146",273,3,0,9
"147",274,7,0,13
"148",275,4,0,6
"149",276,5,0,6
"150",277,2,0,9
"151",280,5,0,8
"152",281,4,0,6
"153",283,5,0,5
"154",284,3,0,13
"155",285,3,0,11
"156",287,3,0,11
"157",289,4,0,8
"158",290,5,0,8
"159",293,4,0,10
"160",294,3,0,9
"161",295,6,0,9
"162",297,5,0,6
"163",300,4,0,8
"164",302,3,0,6
"165",303,6,0,6
"166",304,4,0,12
"167",305,6,0,7
"168",306,6,0,9
"169",307,4,0,15
"170",308,5,0,12
"171",311,5,0,9
"172",313,4,0,5
"173",315,4,0,13
"174",316,5,0,8
"175",317,4,0,7
"176",318,4,0,10
"177",320,4,0,7
"178",323,5,0,6
"179",324,2,0,12
"180",325,4,0,4
"181",328,4,0,9
"182",329,3,0,8
"183",330,5,0,7
"184",332,2,0,5
"185",336,5,0,12
"186",346,3,0,8
"187",348,4,0,9
"188",350,6,0,16
"189",353,4,0,10
"190",355,6,0,6
"191",357,3,0,10
"192",359,2,0,8
"193",360,4,0,11
"194",361,1,0,8
"195",363,3,0,2
"196",366,5,0,10
"197",367,5,0,7
"198",370,3,0,7
"199",371,4,0,14
"200",372,4,0,10
"201",373,3,0,6
"202",375,3,0,9
"203",380,6,0,9
"204",382,5,0,8
"205",383,3,0,7
"206",385,5,0,6
"207",386,4,0,13
"208",388,4,0,10
"209",389,2,0,15
"210",390,3,0,9
"211",391,5,0,10
"212",392,5,0,8
"213",393,5,0,10
"214",394,4,0,7
"215",396,3,0,6
"216",397,6,0,8
"217",398,4,0,13
"218",399,3,0,10
"219",400,5,0,17
"220",401,5,0,14
"221",402,6,0,6
"222",403,3,0,4
"223",406,4,0,12
"224",407,4,0,3
"225",408,4,0,10
"226",410,3,0,9
"227",413,5,0,9
"228",414,3,0,10
"229",416,5,0,6
"230",417,5,0,6
"231",423,4,0,6
"232",424,2,0,8
"233",427,2,0,15
"234",429,3,0,13
"235",432,5,0,7
"236",434,4,0,10
"237",435,5,0,9
"238",436,4,0,17
"239",437,5,0,7
"240",441,4,0,5
"241",446,1,0,14
"242",447,3,0,8
"243",449,4,0,9
"244",450,2,0,8
"245",451,5,0,8
"246",452,3,0,9
"247",453,3,0,7
"248",458,2,0,11
"249",460,5,0,12
"250",461,4,0,7
"251",462,6,0,5
"252",463,5,0,10
"253",464,5,0,9
"254",466,4,0,13
"255",467,3,0,9
"256",469,5,0,8
"257",470,5,0,6
"258",473,4,0,10
"259",474,4,0,9
"260",475,5,0,7
"261",476,3,0,9
"262",477,4,0,13
"263",478,4,0,4
"264",479,5,0,9
"265",480,4,0,13
"266",484,4,0,7
"267",485,6,0,7
"268",486,6,0,6
"269",491,3,0,7
"270",493,3,0,8
"271",494,4,0,8
"272",495,8,0,9
"273",496,3,0,11
"274",497,4,0,10
"275",498,3,0,9
"276",500,3,0,14
"277",1,3,1,10
"278",4,6,1,9
"279",8,5,1,6
"280",9,5,1,10
"281",11,6,1,11
"282",12,4,1,10
"283",19,5,1,18
"284",21,5,1,13
"285",25,5,1,8
"286",27,4,1,8
"287",28,3,1,12
"288",30,4,1,13
"289",32,4,1,12
"290",34,4,1,8
"291",35,3,1,11
"292",36,4,1,15
"293",38,4,1,7
"294",39,5,1,13
"295",40,5,1,7
"296",43,5,1,10
"297",45,3,1,9
"298",51,4,1,8
"299",53,4,1,14
"300",55,5,1,10
"301",56,6,1,6
"302",57,4,1,10
"303",62,4,1,6
"304",67,2,1,6
"305",69,4,1,8
"306",71,4,1,15
"307",72,3,1,9
"308",74,3,1,12
"309",75,3,1,11
"310",78,4,1,11
"311",80,3,1,10
"312",81,3,1,14
"313",82,4,1,9
"314",84,2,1,7
"315",85,5,1,12
"316",87,5,1,10
"317",90,4,1,14
"318",91,3,1,6
"319",95,6,1,9
"320",96,5,1,9
"321",97,3,1,11
"322",98,3,1,11
"323",100,4,1,12
"324",102,4,1,12
"325",107,5,1,12
"326",108,5,1,13
"327",109,4,1,14
"328",113,5,1,8
"329",114,3,1,6
"330",117,4,1,8
"331",119,4,1,12
"332",121,3,1,6
"333",123,4,1,8
"334",124,4,1,12
"335",129,3,1,13
"336",130,4,1,11
"337",131,4,1,16
"338",132,3,1,18
"339",133,5,1,8
"340",134,2,1,8
"341",137,4,1,6
"342",139,3,1,9
"343",140,4,1,11
"344",141,2,1,11
"345",142,5,1,7
"346",144,4,1,8
"347",145,3,1,7
"348",146,3,1,3
"349",150,2,1,14
"350",152,4,1,11
"351",153,4,1,15
"352",154,3,1,12
"353",156,3,1,4
"354",157,5,1,14
"355",158,3,1,11
"356",160,6,1,11
"357",164,5,1,9
"358",165,3,1,13
"359",166,6,1,15
"360",167,4,1,16
"361",169,4,1,5
"362",170,4,1,10
"363",171,6,1,8
"364",172,4,1,3
"365",173,4,1,9
"366",176,4,1,9
"367",178,6,1,14
"368",182,5,1,12
"369",185,5,1,19
"370",186,4,1,14
"371",189,4,1,6
"372",191,4,1,11
"373",194,5,1,9
"374",195,3,1,14
"375",198,3,1,9
"376",201,4,1,13
"377",202,6,1,11
"378",204,4,1,12
"379",205,2,1,14
"380",208,5,1,10
"381",210,5,1,12
"382",212,4,1,9
"383",218,3,1,9
"384",219,5,1,10
"385",223,3,1,9
"386",226,6,1,10
"387",227,4,1,16
"388",228,2,1,12
"389",231,3,1,6
"390",232,1,1,11
"391",235,4,1,13
"392",237,5,1,7
"393",238,3,1,8
"394",240,4,1,5
"395",242,5,1,10
"396",243,4,1,14
"397",247,3,1,8
"398",249,4,1,7
"399",250,5,1,8
"400",252,4,1,11
"401",255,5,1,7
"402",265,6,1,7
"403",269,4,1,13
"404",278,5,1,6
"405",279,3,1,8
"406",282,4,1,10
"407",286,3,1,6
"408",288,5,1,13
"409",291,4,1,14
