"","ID","predictor","fate"
"1",1,8.33333333333333,1
"2",2,9,0
"3",3,12.6666666666667,0
"4",4,9.16666666666667,1
"5",5,9.25,0
"6",6,7.66666666666667,0
"7",7,9.5,0
"8",8,6.4,1
"9",9,11.4,1
"10",10,10.75,0
"11",11,9.16666666666667,1
"12",12,9.25,1
"13",13,9.66666666666667,0
"14",14,10,0
"15",15,7.6,0
"16",16,9.75,0
"17",17,10.25,0
"18",18,7.8,0
"19",19,12,1
"20",20,9.4,0
"21",21,11.4,1
"22",22,8,0
"23",23,10.5,0
"24",24,7,0
"25",25,9,1
"26",26,6.25,0
"27",27,9.25,1
"28",28,10.3333333333333,1
"29",29,9.25,0
"30",30,10.75,1
"31",31,8.8,0
"32",32,10.75,1
"33",33,10,0
"34",34,9.5,1
"35",35,10.3333333333333,1
"36",36,13.25,1
"37",37,8.25,0
"38",38,10,1
"39",39,10.6,1
"40",40,9,1
"41",41,7.5,0
"42",42,11.5,0
"43",43,13.8,1
"44",44,8.4,0
"45",45,11.6666666666667,1
"46",46,10.3333333333333,0
"47",47,7.75,0
"48",48,10.4,0
"49",49,9.5,0
"50",50,11.2,0
"51",51,8,1
"52",52,8.66666666666667,0
"53",53,10.25,1
"54",54,8.33333333333333,0
"55",55,10.8,1
"56",56,10.8333333333333,1
"57",57,9.75,1
"58",58,6.66666666666667,0
"59",59,10.8,0
"60",60,9.25,0
"61",61,9,0
"62",62,7.5,1
"63",63,7.8,0
"64",64,8.25,0
"65",65,9.33333333333333,0
"66",66,7.25,0
"67",67,9,1
"68",68,11.6,0
"69",69,10.25,1
"70",70,9.5,0
"71",71,10.5,1
"72",72,11,1
"73",73,10,0
"74",74,10.6666666666667,1
"75",75,9.33333333333333,1
"76",76,9,0
"77",77,9,0
"78",78,12,1
"79",79,12.25,0
"80",80,8.66666666666667,1
"81",81,13,1
"82",82,11,1
"83",83,12.2,0
"84",84,8,1
"85",85,9.8,1
"86",86,10,0
"87",87,9.8,1
"88",88,10.5,0
"89",89,8,0
"90",90,9,1
"91",91,8.33333333333333,1
"92",92,10,0
"93",93,6.4,0
"94",94,9.4,0
"95",95,9.5,1
"96",96,8.4,1
"97",97,12,1
"98",98,11.6666666666667,1
"99",99,8.66666666666667,0
"100",100,10.25,1
"101",101,7.66666666666667,0
"102",102,10.5,1
"103",103,12.3333333333333,0
"104",104,11.25,0
"105",105,9.33333333333333,0
"106",106,12,0
"107",107,10,1
"108",108,8.4,1
"109",109,11.75,1
"110",110,8.66666666666667,0
"111",111,9.33333333333333,0
"112",112,7.75,0
"113",113,8.4,1
"114",114,11,1
"115",115,9,0
"116",116,12,0
"117",117,10.5,1
"118",118,10,0
"119",119,10.5,1
"120",120,11.5,0
"121",121,7.66666666666667,1
"122",122,10.2,0
"123",123,10,1
"124",124,10,1
"125",125,10.75,0
"126",126,7.6,0
"127",127,10.5,0
"128",128,8,0
"129",129,11.6666666666667,1
"130",130,8.5,1
"131",131,11,1
"132",132,12,1
"133",133,9.4,1
"134",134,10.5,1
"135",135,11.25,0
"136",136,9,0
"137",137,12.75,1
"138",138,6.66666666666667,0
"139",139,9,1
"140",140,9,1
"141",141,12,1
"142",142,10.8,1
"143",143,10.5,0
"144",144,12,1
"145",145,11,1
"146",146,9,1
"147",147,11.3333333333333,0
"148",148,10.25,0
"149",149,11,0
"150",150,12,1
"151",151,9.25,0
"152",152,12.5,1
"153",153,9.5,1
"154",154,10,1
"155",155,10.3333333333333,0
"156",156,9,1
"157",157,9,1
"158",158,12.6666666666667,1
"159",159,10,0
"160",160,11.3333333333333,1
"161",161,9.5,0
"162",162,8.5,0
"163",163,8,0
"164",164,11,1
"165",165,8.66666666666667,1
"166",166,10.5,1
"167",167,12.75,1
"168",168,13,0
"169",169,9.5,1
"170",170,10.25,1
"171",171,10.5,1
"172",172,8.5,1
"173",173,12,1
"174",174,12.75,0
"175",175,11.25,0
"176",176,10.25,1
"177",177,10.4,0
"178",178,10,1
"179",179,13,0
"180",180,10.2,0
"181",181,10.3333333333333,0
"182",182,12.8,1
"183",183,7.25,0
"184",184,11.3333333333333,0
"185",185,10.2,1
"186",186,13,1
"187",187,10.6,0
"188",188,7,0
"189",189,10.75,1
"190",190,5.66666666666667,0
"191",191,11.5,1
"192",192,10.5,0
"193",193,11,0
"194",194,11.8,1
"195",195,12,1
"196",196,9,0
"197",197,8.8,0
"198",198,10.6666666666667,1
"199",199,10.25,0
"200",200,11,0
"201",201,9.75,1
