"Card_number","Site_transect","Site","Transect","Side","Year_tagged","Observer","Depth_ft","Shore_dist_m","Distance_m","Max_Diam_1_cm","X_coordinates_m","Y_coordinates_m","Visit_ID","Visit_Date","Stipe_num","Presence","Visit_interval","prev_Stipes","Month","Year","prev_Visit_Date","sst_mean","wave_h_mean_cm","wave_p_mean","Substrate_Code","max_slope"
1036,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",30.0903,427.57,250,64,244324.6466,3811225.266,"R0","2015-08-19",9,1,0,NA,8,2015,NA,NA,NA,NA,"B",NA
1036,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",30.0903,427.57,250,64,244324.6466,3811225.266,"R1","2015-12-17",NA,0,1,9,12,2015,"2015-08-19",20.05,62.55,2.26929596417633,"B",NA
1040,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",26.9735,541.57,136,41,244294.9626,3811115.199,"R0","2015-08-12",20,1,0,NA,8,2015,NA,NA,NA,NA,"SS",1
1040,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",26.9735,541.57,136,41,244294.9626,3811115.199,"R1","2015-12-16",NA,0,1,20,12,2015,"2015-08-12",20.0604761904762,62.4523809523809,2.2112408240691,"SS",1
1099,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,630.57,47,30,244271.7882,3811029.269,"R0","2015-08-12",4,1,0,NA,8,2015,NA,NA,NA,NA,"S",0
1099,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,630.57,47,30,244271.7882,3811029.269,"R1","2015-12-17",NA,0,1,4,12,2015,"2015-08-12",20.0325984251969,62.4094488188976,2.20683068977823,"S",0
1114,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",26.9735,542.57,135,30,244294.7022,3811114.233,"R0","2015-08-12",14,1,0,NA,8,2015,NA,NA,NA,NA,"SS",0
1114,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",26.9735,542.57,135,30,244294.7022,3811114.233,"R1","2015-12-16",NA,0,1,14,12,2015,"2015-08-12",20.0604761904762,62.4523809523809,2.2112408240691,"SS",0
1137,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",26.9735,542.57,135,32,244294.7022,3811114.233,"R0","2015-08-12",12,1,0,NA,8,2015,NA,NA,NA,NA,"SS",0
1137,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",26.9735,542.57,135,32,244294.7022,3811114.233,"R1","2015-12-16",NA,0,1,12,12,2015,"2015-08-12",20.0604761904762,62.4523809523809,2.2112408240691,"SS",0
1231,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,602.57,75,60,244279.079,3811056.303,"R0","2015-08-12",16,1,0,NA,8,2015,NA,NA,NA,NA,"S",0
1231,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,602.57,75,60,244279.079,3811056.303,"R1","2015-12-17",10,1,1,16,12,2015,"2015-08-12",20.0325984251969,62.4094488188976,2.20683068977823,"S",0
1231,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,602.57,75,60,244279.079,3811056.303,"R2","2016-04-01",NA,0,2,10,4,2016,"2015-12-17",15.0766981132075,84.8584905660377,5.1025400668108,"S",0
1245,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,609.57,68,39,244277.2563,3811049.544,"R0","2015-08-12",9,1,0,NA,8,2015,NA,NA,NA,NA,"S",0
1245,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,609.57,68,39,244277.2563,3811049.544,"R1","2015-12-16",NA,0,1,9,12,2015,"2015-08-12",20.0604761904762,62.4523809523809,2.2112408240691,"S",0
1258,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,602.57,75,50,244279.079,3811056.303,"R0","2015-08-12",18,1,0,NA,8,2015,NA,NA,NA,NA,"S",0
1258,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,602.57,75,50,244279.079,3811056.303,"R1","2015-12-17",9,1,1,18,12,2015,"2015-08-12",20.0325984251969,62.4094488188976,2.20683068977823,"S",0
1258,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,602.57,75,50,244279.079,3811056.303,"R2","2016-04-01",NA,0,2,9,4,2016,"2015-12-17",15.0766981132075,84.8584905660377,5.1025400668108,"S",0
1267,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,568.57,109,29,244287.9321,3811089.13,"R0","2015-08-12",12,1,0,NA,8,2015,NA,NA,NA,NA,"SS",0
1267,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,568.57,109,29,244287.9321,3811089.13,"R1","2015-12-16",9,1,1,12,12,2015,"2015-08-12",20.0604761904762,62.4523809523809,2.2112408240691,"SS",0
1267,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,568.57,109,29,244287.9321,3811089.13,"R2","2016-04-01",5,1,2,9,4,2016,"2015-12-16",15.0901869158879,84.5981308411215,5.07028412010349,"SS",0
1267,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,568.57,109,29,244287.9321,3811089.13,"R3","2016-06-23",NA,0,3,5,6,2016,"2016-04-01",15.1289156626506,63.2048192771084,1.97774771940091,"SS",0
1271,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",28.9735,596.57,81,45,244280.6413,3811062.096,"R0","2015-08-12",25,1,0,NA,8,2015,NA,NA,NA,NA,"SS",0
1271,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",28.9735,596.57,81,45,244280.6413,3811062.096,"R1","2015-12-17",NA,0,1,25,12,2015,"2015-08-12",20.0325984251969,62.4094488188976,2.20683068977823,"SS",0
1272,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",28.9735,595.57,82,60,244280.9017,3811063.061,"R0","2015-08-12",21,1,0,NA,8,2015,NA,NA,NA,NA,"SS",0
1272,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",28.9735,595.57,82,60,244280.9017,3811063.061,"R1","2015-12-17",NA,0,1,21,12,2015,"2015-08-12",20.0325984251969,62.4094488188976,2.20683068977823,"SS",0
1275,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,619.57,58,60,244274.6524,3811039.889,"R0","2015-08-12",18,1,0,NA,8,2015,NA,NA,NA,NA,"S",0
1275,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,619.57,58,60,244274.6524,3811039.889,"R1","2015-12-17",14,1,1,18,12,2015,"2015-08-12",20.0325984251969,62.4094488188976,2.20683068977823,"S",0
1275,"Hope Ranch_1","Hope Ranch",1,"West",1,"Brandon Doheny",29.9735,619.57,58,60,244274.6524,3811039.889,"R2","2016-04-01",NA,0,2,14,4,2016,"2015-12-17",15.0766981132075,84.8584905660377,5.1025400668108,"S",0
1290,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",27.9735,553.57,124,21,244291.8379,3811103.613,"R0","2015-08-12",9,1,0,NA,8,2015,NA,NA,NA,NA,"SS",0
1290,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",27.9735,553.57,124,21,244291.8379,3811103.613,"R1","2015-12-16",5,1,1,9,12,2015,"2015-08-12",20.0604761904762,62.4523809523809,2.2112408240691,"SS",0
1290,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",27.9735,553.57,124,21,244291.8379,3811103.613,"R2","2016-04-01",1,1,2,5,4,2016,"2015-12-16",15.0901869158879,84.5981308411215,5.07028412010349,"SS",0
1290,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",27.9735,553.57,124,21,244291.8379,3811103.613,"R3","2016-06-23",NA,0,3,1,6,2016,"2016-04-01",15.1289156626506,63.2048192771084,1.97774771940091,"SS",0
1296,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,569.57,108,21,244287.6717,3811088.164,"R0","2015-08-12",14,1,0,NA,8,2015,NA,NA,NA,NA,"SS",0
1296,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,569.57,108,21,244287.6717,3811088.164,"R1","2015-12-16",10,1,1,14,12,2015,"2015-08-12",20.0604761904762,62.4523809523809,2.2112408240691,"SS",0
1296,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",28.9735,569.57,108,21,244287.6717,3811088.164,"R2","2016-04-01",NA,0,2,10,4,2016,"2015-12-16",15.0901869158879,84.5981308411215,5.07028412010349,"SS",0
1303,"Hope Ranch_1","Hope Ranch",1,"East",1,"Sarah Sampson",26.9735,542.57,135,25,244294.7022,3811114.233,"R0","2015-08-12",8,1,0,NA,8,2015,NA,NA,NA,NA,"SS",0
